benchmark,mode,processes,bytes,metric,run1,run2,run3,avg_of_3runs
allgather,Enc,2,0,t_avg[usec],33.92,36.25,36.11,35.42666666666667
allgather,Enc,2,2,t_avg[usec],34.15,36.39,36.37,35.63666666666666
allgather,Enc,2,4,t_avg[usec],34.02,36.18,36.2,35.46666666666667
allgather,Enc,2,8,t_avg[usec],34.18,36.49,36.5,35.723333333333336
allgather,Enc,2,16,t_avg[usec],34.64,36.88,36.91,36.14333333333333
allgather,Enc,2,32,t_avg[usec],34.94,37.37,37.27,36.526666666666664
allgather,Enc,2,64,t_avg[usec],36.08,38.39,38.56,37.67666666666667
allgather,Enc,2,128,t_avg[usec],37.78,40.07,39.93,39.26
allgather,Enc,2,256,t_avg[usec],42.3,44.67,44.72,43.89666666666667
allgather,Enc,2,512,t_avg[usec],49.6,52.16,51.98,51.24666666666666
allgather,Enc,2,1024,t_avg[usec],62.73,65.52,65.46,64.57
allgather,Enc,2,2048,t_avg[usec],96.69,97.2,97.83,97.24
allgather,Enc,2,4096,t_avg[usec],99.76,104.13,103.89,102.59333333333333
allgather,Enc,2,8192,t_avg[usec],138.9,143.25,143.23,141.79333333333332
allgather,Enc,2,16384,t_avg[usec],217.02,222.64,222.34,220.66666666666666
allgather,Enc,2,32768,t_avg[usec],367.52,373.32,372.06,370.96666666666664
allgather,Enc,2,65536,t_avg[usec],730.11,739.97,747.56,739.2133333333334
allgather,Enc,2,131072,t_avg[usec],1402.41,1410.64,1408.97,1407.3400000000001
allgather,Enc,2,262144,t_avg[usec],2673.72,2698.62,2695.66,2689.333333333333
allgather,Enc,2,524288,t_avg[usec],5212.45,5260.32,5251.16,5241.3099999999995
allgather,Enc,2,1048576,t_avg[usec],10287.99,10369.12,10353.06,10336.723333333333
allgather,Enc,2,2097152,t_avg[usec],20501.25,20639.81,20602.94,20581.333333333332
allgather,Enc,2,4194304,t_avg[usec],41078.05,41338.03,41304.14,41240.073333333334
allgather,Enc,4,0,t_avg[usec],66.82,60.43,61.82,63.02333333333333
allgather,Enc,4,2,t_avg[usec],64.36,60.26,63.21,62.61
allgather,Enc,4,4,t_avg[usec],65.48,60.17,63.67,63.10666666666667
