benchmark,mode,processes,bytes,metric,run1,run2,run3,avg_of_3runs
allgatherv,Enc,2,0,t_avg[usec],36.22,36.4,34.07,35.56333333333333
allgatherv,Enc,2,2,t_avg[usec],36.3,36.39,33.94,35.54333333333333
allgatherv,Enc,2,4,t_avg[usec],36.25,36.45,34.01,35.57
allgatherv,Enc,2,8,t_avg[usec],36.32,36.6,33.96,35.626666666666665
allgatherv,Enc,2,16,t_avg[usec],37.04,37.01,34.64,36.23
allgatherv,Enc,2,32,t_avg[usec],37.13,37.11,34.61,36.28333333333333
allgatherv,Enc,2,64,t_avg[usec],38.65,38.54,36.14,37.776666666666664
allgatherv,Enc,2,128,t_avg[usec],39.91,39.92,37.59,39.14
allgatherv,Enc,2,256,t_avg[usec],44.96,44.89,42.14,43.99666666666667
allgatherv,Enc,2,512,t_avg[usec],51.93,52.11,49.46,51.166666666666664
allgatherv,Enc,2,1024,t_avg[usec],65.38,65.72,62.71,64.60333333333332
allgatherv,Enc,2,2048,t_avg[usec],98.03,97.67,97.36,97.68666666666667
allgatherv,Enc,2,4096,t_avg[usec],104.16,104.06,99.29,102.50333333333333
allgatherv,Enc,2,8192,t_avg[usec],143.24,143.36,138.38,141.66
allgatherv,Enc,2,16384,t_avg[usec],222.37,222.28,216.9,220.51666666666668
allgatherv,Enc,2,32768,t_avg[usec],372.1,372.82,367.08,370.6666666666667
allgatherv,Enc,2,65536,t_avg[usec],739.16,738.62,737.04,738.2733333333333
allgatherv,Enc,2,131072,t_avg[usec],1409.91,1412.73,1404.76,1409.1333333333334
allgatherv,Enc,2,262144,t_avg[usec],2696.04,2697.74,2676.42,2690.0666666666666
allgatherv,Enc,2,524288,t_avg[usec],5251.47,5254.18,5218.71,5241.453333333334
allgatherv,Enc,2,1048576,t_avg[usec],10354.84,10361.04,10294.54,10336.806666666667
allgatherv,Enc,2,2097152,t_avg[usec],20612.03,20624.8,20523.17,20586.666666666664
allgatherv,Enc,2,4194304,t_avg[usec],41354.61,41360.62,41072.36,41262.53
allgatherv,Enc,4,0,t_avg[usec],59.55,61.51,60.43,60.49666666666666
allgatherv,Enc,4,2,t_avg[usec],59.74,63.4,61.96,61.7
allgatherv,Enc,4,4,t_avg[usec],60.26,63.34,61.93,61.843333333333334
allgatherv,Enc,4,8,t_avg[usec],60.64,63.33,62.07,62.013333333333335
allgatherv,Enc,4,16,t_avg[usec],61.36,64.06,62.84,62.75333333333334
allgatherv,Enc,4,32,t_avg[usec],62.06,64.89,63.77,63.57333333333334
allgatherv,Enc,4,64,t_avg[usec],65.55,67.79,66.05,66.46333333333334
allgatherv,Enc,4,128,t_avg[usec],68.32,70.24,68.93,69.16333333333333
allgatherv,Enc,4,256,t_avg[usec],76.88,77.87,76.0,76.91666666666667
allgatherv,Enc,4,512,t_avg[usec],89.75,92.71,87.34,89.93333333333334
allgatherv,Enc,4,1024,t_avg[usec],116.77,121.31,119.32,119.13333333333333
allgatherv,Enc,4,2048,t_avg[usec],151.65,150.99,147.69,150.11
allgatherv,Enc,4,4096,t_avg[usec],181.1,183.49,183.2,182.59666666666666
allgatherv,Enc,4,8192,t_avg[usec],257.32,261.22,259.74,259.4266666666667
allgatherv,Enc,4,16384,t_avg[usec],417.82,415.27,416.46,416.51666666666665
allgatherv,Enc,4,32768,t_avg[usec],986.96,976.76,976.32,980.0133333333333
allgatherv,Enc,4,65536,t_avg[usec],1857.33,1842.37,1848.02,1849.24
allgatherv,Enc,4,131072,t_avg[usec],3760.12,3729.28,3744.45,3744.616666666667
allgatherv,Enc,4,262144,t_avg[usec],7524.66,7442.54,8984.86,7984.02
allgatherv,Enc,4,524288,t_avg[usec],15147.7,14995.59,15116.19,15086.493333333334
allgatherv,Enc,4,1048576,t_avg[usec],30525.23,30183.77,30379.24,30362.746666666666
allgatherv,Enc,4,2097152,t_avg[usec],61525.84,60848.53,61296.23,61223.53333333333
