benchmark,mode,processes,bytes,metric,run1,run2,run3,avg_of_3runs
alltoallv,Enc,2,0,t_avg[usec],38.7,38.73,38.76,38.73
alltoallv,Enc,2,2,t_avg[usec],38.74,39.21,38.76,38.903333333333336
alltoallv,Enc,2,4,t_avg[usec],38.9,38.83,38.97,38.9
alltoallv,Enc,2,8,t_avg[usec],38.71,39.21,38.96,38.96
alltoallv,Enc,2,16,t_avg[usec],39.57,39.75,39.38,39.56666666666667
alltoallv,Enc,2,32,t_avg[usec],39.67,39.96,39.92,39.85
alltoallv,Enc,2,64,t_avg[usec],41.17,41.3,40.94,41.13666666666666
alltoallv,Enc,2,128,t_avg[usec],42.32,42.76,42.54,42.54
alltoallv,Enc,2,256,t_avg[usec],47.39,47.7,47.37,47.486666666666665
alltoallv,Enc,2,512,t_avg[usec],54.51,54.84,54.75,54.7
alltoallv,Enc,2,1024,t_avg[usec],68.32,68.59,68.34,68.41666666666667
alltoallv,Enc,2,2048,t_avg[usec],99.59,101.14,100.13,100.28666666666666
alltoallv,Enc,2,4096,t_avg[usec],107.55,107.78,107.5,107.61
alltoallv,Enc,2,8192,t_avg[usec],148.01,148.41,148.23,148.21666666666667
alltoallv,Enc,2,16384,t_avg[usec],230.26,230.6,230.39,230.41666666666666
alltoallv,Enc,2,32768,t_avg[usec],385.84,386.26,385.01,385.7033333333333
alltoallv,Enc,2,65536,t_avg[usec],762.54,761.03,762.47,762.0133333333333
alltoallv,Enc,2,131072,t_avg[usec],1456.05,1453.26,1454.44,1454.5833333333333
alltoallv,Enc,2,262144,t_avg[usec],2768.02,2769.51,2767.42,2768.3166666666666
alltoallv,Enc,2,524288,t_avg[usec],5400.1,5401.41,5398.61,5400.04
alltoallv,Enc,2,1048576,t_avg[usec],10626.74,10634.61,10637.8,10633.05
alltoallv,Enc,2,2097152,t_avg[usec],21187.76,21188.27,21204.22,21193.416666666668
alltoallv,Enc,2,4194304,t_avg[usec],42528.22,42542.74,42513.28,42528.08
alltoallv,Enc,4,0,t_avg[usec],56.04,55.72,53.24,55.0
alltoallv,Enc,4,2,t_avg[usec],55.96,55.58,53.14,54.89333333333333
alltoallv,Enc,4,4,t_avg[usec],55.77,55.47,53.0,54.74666666666667
alltoallv,Enc,4,8,t_avg[usec],55.8,55.58,53.29,54.89
alltoallv,Enc,4,16,t_avg[usec],56.57,56.33,53.87,55.589999999999996
alltoallv,Enc,4,32,t_avg[usec],56.94,56.58,53.95,55.82333333333333
alltoallv,Enc,4,64,t_avg[usec],57.94,57.08,54.75,56.589999999999996
alltoallv,Enc,4,128,t_avg[usec],59.64,58.41,56.71,58.25333333333333
alltoallv,Enc,4,256,t_avg[usec],62.87,61.97,60.92,61.92
alltoallv,Enc,4,512,t_avg[usec],70.16,74.65,70.63,71.81333333333333
alltoallv,Enc,4,1024,t_avg[usec],94.86,97.87,97.07,96.6
alltoallv,Enc,4,2048,t_avg[usec],139.64,141.47,141.08,140.73
alltoallv,Enc,4,4096,t_avg[usec],174.85,175.23,175.34,175.14
alltoallv,Enc,4,8192,t_avg[usec],265.03,266.13,265.47,265.54333333333335
alltoallv,Enc,4,16384,t_avg[usec],455.57,456.65,464.39,458.87
alltoallv,Enc,4,32768,t_avg[usec],837.06,836.09,892.56,855.2366666666667
alltoallv,Enc,4,65536,t_avg[usec],1790.42,1789.15,1842.92,1807.4966666666667
alltoallv,Enc,4,131072,t_avg[usec],3817.44,3821.41,3820.14,3819.6633333333334
alltoallv,Enc,4,262144,t_avg[usec],7456.26,7447.83,7451.58,7451.89
alltoallv,Enc,4,524288,t_avg[usec],14692.83,14655.5,14678.15,14675.493333333334
alltoallv,Enc,4,1048576,t_avg[usec],29187.63,29176.21,29303.41,29222.416666666668
alltoallv,Enc,4,2097152,t_avg[usec],58253.24,58261.1,58424.68,58313.00666666667
alltoallv,Enc,4,4194304,t_avg[usec],116276.51,116287.63,116353.33,116305.82333333333
alltoallv,Enc,8,0,t_avg[usec],82.65,92.69,85.84,87.06
