benchmark,mode,processes,bytes,metric,run1,run2,run3,avg_of_3runs
bcast,Enc,2,0,t_avg[usec],30.97,30.83,27.88,29.89333333333333
bcast,Enc,2,2,t_avg[usec],31.03,31.03,28.98,30.346666666666668
bcast,Enc,2,4,t_avg[usec],31.66,31.19,28.57,30.473333333333333
bcast,Enc,2,8,t_avg[usec],31.55,31.22,28.98,30.583333333333332
bcast,Enc,2,16,t_avg[usec],32.73,32.28,29.32,31.44333333333333
bcast,Enc,2,32,t_avg[usec],33.16,33.05,29.27,31.826666666666664
bcast,Enc,2,64,t_avg[usec],34.78,34.68,30.12,33.193333333333335
bcast,Enc,2,128,t_avg[usec],35.95,36.42,31.0,34.45666666666667
bcast,Enc,2,256,t_avg[usec],44.51,44.96,44.53,44.666666666666664
bcast,Enc,2,512,t_avg[usec],48.38,48.53,47.89,48.266666666666666
bcast,Enc,2,1024,t_avg[usec],55.14,55.15,54.86,55.05
bcast,Enc,2,2048,t_avg[usec],67.67,67.4,67.06,67.37666666666667
bcast,Enc,2,4096,t_avg[usec],77.97,77.69,78.05,77.90333333333334
bcast,Enc,2,8192,t_avg[usec],95.4,95.41,96.17,95.66
bcast,Enc,2,16384,t_avg[usec],137.56,137.44,137.4,137.46666666666667
bcast,Enc,2,32768,t_avg[usec],219.21,219.09,219.36,219.22
bcast,Enc,2,65536,t_avg[usec],374.18,373.22,373.44,373.61333333333334
bcast,Enc,2,131072,t_avg[usec],1060.86,1057.96,1062.47,1060.43
bcast,Enc,2,262144,t_avg[usec],1947.94,1946.56,1953.82,1949.44
bcast,Enc,2,524288,t_avg[usec],4503.89,4505.7,4499.37,4502.986666666667
bcast,Enc,2,1048576,t_avg[usec],9542.02,9533.37,9524.23,9533.206666666667
bcast,Enc,2,2097152,t_avg[usec],19584.21,19612.65,19568.09,19588.316666666666
bcast,Enc,2,4194304,t_avg[usec],39733.37,39748.07,39663.1,39714.846666666665
bcast,Enc,4,0,t_avg[usec],48.54,45.87,41.34,45.25
bcast,Enc,4,2,t_avg[usec],47.47,45.64,41.54,44.88333333333333
bcast,Enc,4,4,t_avg[usec],48.07,45.78,41.61,45.153333333333336
bcast,Enc,4,8,t_avg[usec],47.95,45.71,41.73,45.13
bcast,Enc,4,16,t_avg[usec],49.08,45.69,42.42,45.73
bcast,Enc,4,32,t_avg[usec],49.6,45.77,42.54,45.97
bcast,Enc,4,64,t_avg[usec],50.47,46.67,43.57,46.903333333333336
bcast,Enc,4,128,t_avg[usec],50.4,48.92,44.91,48.07666666666667
bcast,Enc,4,256,t_avg[usec],58.41,54.79,53.12,55.44
bcast,Enc,4,512,t_avg[usec],60.17,57.98,55.71,57.95333333333333
bcast,Enc,4,1024,t_avg[usec],72.94,65.15,66.88,68.32333333333334
bcast,Enc,4,2048,t_avg[usec],87.91,81.97,90.22,86.7
bcast,Enc,4,4096,t_avg[usec],113.18,105.78,110.02,109.66
bcast,Enc,4,8192,t_avg[usec],170.2,157.21,164.03,163.81333333333333
bcast,Enc,4,16384,t_avg[usec],249.07,244.41,253.45,248.97666666666666
bcast,Enc,4,32768,t_avg[usec],417.02,413.73,411.21,413.9866666666667
bcast,Enc,4,65536,t_avg[usec],729.25,729.44,761.77,740.1533333333333
bcast,Enc,4,131072,t_avg[usec],1564.21,1566.4,1565.06,1565.2233333333334
bcast,Enc,4,262144,t_avg[usec],2962.13,2954.58,2959.95,2958.8866666666668
bcast,Enc,4,524288,t_avg[usec],5664.75,5627.33,5656.59,5649.556666666666
bcast,Enc,4,1048576,t_avg[usec],11760.82,11721.12,11754.67,11745.536666666667
bcast,Enc,4,2097152,t_avg[usec],20235.93,20176.32,20175.71,20195.986666666668
bcast,Enc,4,4194304,t_avg[usec],40474.76,40397.89,40422.32,40431.65666666667
