benchmark,mode,processes,bytes,metric,run1,run2,run3,avg_of_3runs
gatherv,Enc,2,0,t_avg[usec],42.86,43.19,43.06,43.03666666666667
gatherv,Enc,2,2,t_avg[usec],43.37,43.43,43.17,43.32333333333333
gatherv,Enc,2,4,t_avg[usec],43.13,43.17,43.03,43.11
gatherv,Enc,2,8,t_avg[usec],43.45,43.51,43.3,43.42
gatherv,Enc,2,16,t_avg[usec],43.97,43.93,43.67,43.85666666666667
gatherv,Enc,2,32,t_avg[usec],44.34,44.28,43.97,44.196666666666665
gatherv,Enc,2,64,t_avg[usec],46.23,46.11,44.84,45.72666666666667
gatherv,Enc,2,128,t_avg[usec],48.79,48.23,45.92,47.64666666666667
gatherv,Enc,2,256,t_avg[usec],48.29,48.39,45.8,47.49333333333333
gatherv,Enc,2,512,t_avg[usec],47.41,47.62,47.87,47.63333333333333
gatherv,Enc,2,1024,t_avg[usec],57.2,57.08,56.88,57.053333333333335
gatherv,Enc,2,2048,t_avg[usec],71.48,71.33,71.31,71.37333333333333
gatherv,Enc,2,4096,t_avg[usec],76.52,76.55,76.59,76.55333333333333
gatherv,Enc,2,8192,t_avg[usec],96.9,96.84,96.95,96.89666666666668
gatherv,Enc,2,16384,t_avg[usec],134.91,134.86,134.7,134.82333333333332
gatherv,Enc,2,32768,t_avg[usec],209.39,209.17,209.03,209.19666666666666
gatherv,Enc,2,65536,t_avg[usec],436.96,437.0,435.31,436.42333333333335
gatherv,Enc,2,131072,t_avg[usec],748.88,750.0,750.18,749.6866666666666
gatherv,Enc,2,262144,t_avg[usec],1906.73,1908.69,1908.62,1908.0133333333333
gatherv,Enc,2,524288,t_avg[usec],4073.28,4072.28,4076.28,4073.9466666666667
gatherv,Enc,2,1048576,t_avg[usec],8755.62,8752.72,8752.35,8753.563333333334
gatherv,Enc,2,2097152,t_avg[usec],18103.78,18076.79,18084.59,18088.386666666665
gatherv,Enc,2,4194304,t_avg[usec],37422.66,37435.78,37424.3,37427.58
gatherv,Enc,4,0,t_avg[usec],26.54,31.08,27.29,28.30333333333333
gatherv,Enc,4,2,t_avg[usec],26.98,30.18,29.28,28.813333333333333
gatherv,Enc,4,4,t_avg[usec],26.87,30.14,29.23,28.746666666666666
gatherv,Enc,4,8,t_avg[usec],26.96,30.19,29.36,28.836666666666666
gatherv,Enc,4,16,t_avg[usec],27.12,30.82,29.37,29.103333333333335
gatherv,Enc,4,32,t_avg[usec],27.28,31.1,29.75,29.37666666666667
gatherv,Enc,4,64,t_avg[usec],27.67,31.53,30.57,29.923333333333336
gatherv,Enc,4,128,t_avg[usec],28.39,32.23,31.26,30.626666666666665
gatherv,Enc,4,256,t_avg[usec],30.23,30.0,29.55,29.926666666666666
gatherv,Enc,4,512,t_avg[usec],31.89,33.17,36.06,33.70666666666667
gatherv,Enc,4,1024,t_avg[usec],37.9,37.85,39.03,38.26
gatherv,Enc,4,2048,t_avg[usec],46.79,46.17,47.74,46.9
gatherv,Enc,4,4096,t_avg[usec],58.09,58.41,58.41,58.303333333333335
gatherv,Enc,4,8192,t_avg[usec],86.36,86.26,87.08,86.56666666666666
gatherv,Enc,4,16384,t_avg[usec],143.75,143.43,144.17,143.78333333333333
gatherv,Enc,4,32768,t_avg[usec],257.01,256.84,257.98,257.27666666666664
gatherv,Enc,4,65536,t_avg[usec],1109.72,1114.54,1118.41,1114.2233333333334
gatherv,Enc,4,131072,t_avg[usec],1985.58,1988.13,1992.64,1988.7833333333333
gatherv,Enc,4,262144,t_avg[usec],4520.96,4521.99,4589.58,4544.176666666666
gatherv,Enc,4,524288,t_avg[usec],9384.08,9379.98,9452.68,9405.58
gatherv,Enc,4,1048576,t_avg[usec],19681.29,19636.84,19633.76,19650.63
gatherv,Enc,4,2097152,t_avg[usec],40169.35,40121.2,40133.83,40141.46
gatherv,Enc,4,4194304,t_avg[usec],81974.53,81950.37,81996.85,81973.91666666667
gatherv,Enc,8,0,t_avg[usec],21.14,19.69,19.1,19.976666666666667
gatherv,Enc,8,2,t_avg[usec],21.12,19.92,19.49,20.176666666666666
gatherv,Enc,8,4,t_avg[usec],20.99,19.81,19.42,20.073333333333334
gatherv,Enc,8,8,t_avg[usec],21.09,19.88,19.59,20.186666666666667
gatherv,Enc,8,16,t_avg[usec],21.15,20.01,19.71,20.29
gatherv,Enc,8,32,t_avg[usec],21.32,20.2,20.01,20.51
gatherv,Enc,8,64,t_avg[usec],21.76,20.31,20.13,20.733333333333334
gatherv,Enc,8,128,t_avg[usec],21.8,20.63,20.52,20.983333333333334
gatherv,Enc,8,256,t_avg[usec],20.85,21.16,20.36,20.79
gatherv,Enc,8,512,t_avg[usec],23.24,21.37,23.18,22.596666666666668
gatherv,Enc,8,1024,t_avg[usec],24.93,24.35,24.3,24.526666666666667
gatherv,Enc,8,2048,t_avg[usec],28.37,28.28,28.66,28.436666666666667
gatherv,Enc,8,4096,t_avg[usec],34.72,34.31,34.67,34.56666666666667
gatherv,Enc,8,8192,t_avg[usec],48.97,48.99,49.61,49.19
gatherv,Enc,8,16384,t_avg[usec],81.02,80.52,80.97,80.83666666666666
gatherv,Enc,8,32768,t_avg[usec],142.62,142.54,143.23,142.79666666666665
gatherv,Enc,8,65536,t_avg[usec],1789.48,1783.62,1787.34,1786.8133333333333
gatherv,Enc,8,131072,t_avg[usec],3171.43,3164.22,3162.47,3166.04
gatherv,Enc,8,262144,t_avg[usec],6419.52,6408.92,6398.77,6409.070000000001
gatherv,Enc,8,524288,t_avg[usec],12737.26,12728.71,12687.66,12717.876666666667
gatherv,Enc,8,1048576,t_avg[usec],25597.46,25618.97,25537.81,25584.746666666666
gatherv,Enc,8,2097152,t_avg[usec],51320.1,51372.23,51292.96,51328.43
gatherv,Enc,8,4194304,t_avg[usec],103140.26,103201.48,103108.35,103150.03
gatherv,Unenc,2,0,t_avg[usec],0.07,0.08,0.07,0.07333333333333333
gatherv,Unenc,2,2,t_avg[usec],25.69,23.47,23.28,24.14666666666667
gatherv,Unenc,2,4,t_avg[usec],25.84,23.35,23.43,24.206666666666667
gatherv,Unenc,2,8,t_avg[usec],25.76,23.44,23.4,24.2
gatherv,Unenc,2,16,t_avg[usec],26.07,23.59,23.89,24.516666666666666
gatherv,Unenc,2,32,t_avg[usec],26.22,23.94,24.05,24.736666666666668
gatherv,Unenc,2,64,t_avg[usec],28.14,25.51,26.07,26.573333333333334
gatherv,Unenc,2,128,t_avg[usec],30.47,27.97,28.15,28.863333333333333
gatherv,Unenc,2,256,t_avg[usec],39.64,38.23,38.25,38.70666666666666
gatherv,Unenc,2,512,t_avg[usec],42.89,41.22,40.59,41.56666666666667
gatherv,Unenc,2,1024,t_avg[usec],49.59,47.76,47.71,48.35333333333333
gatherv,Unenc,2,2048,t_avg[usec],63.37,62.61,62.26,62.74666666666666
gatherv,Unenc,2,4096,t_avg[usec],67.24,66.61,66.96,66.93666666666667
gatherv,Unenc,2,8192,t_avg[usec],86.36,86.81,86.71,86.62666666666667
gatherv,Unenc,2,16384,t_avg[usec],124.4,125.85,125.93,125.39333333333333
gatherv,Unenc,2,32768,t_avg[usec],194.65,197.88,197.86,196.79666666666668
gatherv,Unenc,2,65536,t_avg[usec],392.93,399.02,401.76,397.9033333333333
gatherv,Unenc,2,131072,t_avg[usec],675.01,682.93,682.8,680.2466666666667
gatherv,Unenc,2,262144,t_avg[usec],1754.6,1764.33,1764.43,1761.12
gatherv,Unenc,2,524288,t_avg[usec],3794.81,3806.02,3806.19,3802.34
gatherv,Unenc,2,1048576,t_avg[usec],8264.96,8274.9,8278.59,8272.816666666666
gatherv,Unenc,2,2097152,t_avg[usec],17208.93,17206.35,17214.02,17209.766666666666
gatherv,Unenc,2,4194304,t_avg[usec],35624.52,35606.0,35618.83,35616.45
gatherv,Unenc,4,0,t_avg[usec],0.09,0.11,0.08,0.09333333333333334
gatherv,Unenc,4,2,t_avg[usec],24.45,20.62,18.32,21.13
gatherv,Unenc,4,4,t_avg[usec],24.64,20.76,18.68,21.36
gatherv,Unenc,4,8,t_avg[usec],24.6,20.68,18.63,21.303333333333335
gatherv,Unenc,4,16,t_avg[usec],24.49,20.45,18.64,21.19333333333333
gatherv,Unenc,4,32,t_avg[usec],23.7,20.2,18.79,20.896666666666665
gatherv,Unenc,4,64,t_avg[usec],20.53,19.44,18.2,19.39
