benchmark,mode,processes,bytes,metric,run1,run2,run3,avg_of_3runs
scatter,Enc,2,0,t_avg[usec],31.89,30.57,34.86,32.44
scatter,Enc,2,2,t_avg[usec],32.09,31.2,34.13,32.473333333333336
scatter,Enc,2,4,t_avg[usec],32.31,31.27,34.64,32.74
scatter,Enc,2,8,t_avg[usec],32.11,31.1,34.51,32.57333333333333
scatter,Enc,2,16,t_avg[usec],32.27,31.53,35.56,33.120000000000005
scatter,Enc,2,32,t_avg[usec],32.96,31.72,36.61,33.763333333333335
scatter,Enc,2,64,t_avg[usec],33.56,32.47,38.57,34.86666666666667
scatter,Enc,2,128,t_avg[usec],35.87,33.47,40.09,36.47666666666667
scatter,Enc,2,256,t_avg[usec],47.65,42.72,48.68,46.35
scatter,Enc,2,512,t_avg[usec],51.25,47.81,52.43,50.49666666666667
scatter,Enc,2,1024,t_avg[usec],58.63,54.74,59.26,57.54333333333334
scatter,Enc,2,2048,t_avg[usec],73.42,68.76,73.97,72.05
scatter,Enc,2,4096,t_avg[usec],78.39,74.22,79.17,77.26
scatter,Enc,2,8192,t_avg[usec],99.31,94.84,100.14,98.09666666666666
scatter,Enc,2,16384,t_avg[usec],143.05,136.67,144.43,141.38333333333333
scatter,Enc,2,32768,t_avg[usec],224.71,219.91,225.1,223.24
scatter,Enc,2,65536,t_avg[usec],451.69,437.86,450.58,446.71
scatter,Enc,2,131072,t_avg[usec],777.39,774.1,777.79,776.4266666666666
scatter,Enc,2,262144,t_avg[usec],1956.21,1939.73,1957.58,1951.1733333333334
scatter,Enc,2,524288,t_avg[usec],4195.05,4175.6,4190.76,4187.136666666667
scatter,Enc,2,1048576,t_avg[usec],8968.71,8948.47,8963.99,8960.39
scatter,Enc,2,2097152,t_avg[usec],18512.29,18499.13,18504.89,18505.43666666667
scatter,Enc,2,4194304,t_avg[usec],38287.77,38289.23,38238.13,38271.71
scatter,Enc,4,0,t_avg[usec],42.18,39.35,40.49,40.67333333333333
scatter,Enc,4,2,t_avg[usec],45.98,40.57,42.05,42.86666666666667
scatter,Enc,4,4,t_avg[usec],45.65,40.6,41.89,42.71333333333333
scatter,Enc,4,8,t_avg[usec],45.66,40.93,41.97,42.85333333333333
scatter,Enc,4,16,t_avg[usec],46.27,41.82,42.81,43.63333333333333
scatter,Enc,4,32,t_avg[usec],46.24,42.3,43.07,43.87
scatter,Enc,4,64,t_avg[usec],47.65,43.25,44.68,45.193333333333335
scatter,Enc,4,128,t_avg[usec],48.97,45.22,45.74,46.64333333333333
scatter,Enc,4,256,t_avg[usec],53.58,50.57,51.27,51.806666666666665
scatter,Enc,4,512,t_avg[usec],60.01,59.75,56.2,58.653333333333336
scatter,Enc,4,1024,t_avg[usec],77.98,77.37,69.8,75.05
scatter,Enc,4,2048,t_avg[usec],116.28,114.83,108.09,113.06666666666666
scatter,Enc,4,4096,t_avg[usec],140.35,144.46,131.79,138.86666666666667
scatter,Enc,4,8192,t_avg[usec],199.08,195.84,191.95,195.62333333333333
scatter,Enc,4,16384,t_avg[usec],323.25,314.12,332.25,323.20666666666665
scatter,Enc,4,32768,t_avg[usec],575.4,543.22,587.48,568.7
scatter,Enc,4,65536,t_avg[usec],1319.22,1369.02,1338.12,1342.12
scatter,Enc,4,131072,t_avg[usec],2579.86,2620.19,2436.21,2545.42
scatter,Enc,4,262144,t_avg[usec],5199.59,5191.54,5189.84,5193.656666666667
scatter,Enc,4,524288,t_avg[usec],10440.24,10501.68,10451.09,10464.336666666666
scatter,Enc,4,1048576,t_avg[usec],21314.23,21256.39,21284.33,21284.983333333334
scatter,Enc,4,2097152,t_avg[usec],42864.1,42817.74,42883.65,42855.16333333333
scatter,Enc,4,4194304,t_avg[usec],85511.24,85467.11,85458.63,85478.99333333333
scatter,Enc,8,0,t_avg[usec],41.15,40.67,33.88,38.56666666666667
scatter,Enc,8,2,t_avg[usec],41.39,42.59,33.77,39.25
scatter,Enc,8,4,t_avg[usec],41.63,40.63,33.72,38.660000000000004
scatter,Enc,8,8,t_avg[usec],41.51,40.65,34.0,38.72
scatter,Enc,8,16,t_avg[usec],42.08,42.13,34.25,39.486666666666665
scatter,Enc,8,32,t_avg[usec],42.5,42.22,34.69,39.803333333333335
scatter,Enc,8,64,t_avg[usec],43.0,39.16,35.56,39.24
scatter,Enc,8,128,t_avg[usec],43.7,37.81,36.29,39.266666666666666
scatter,Enc,8,256,t_avg[usec],45.67,45.07,41.48,44.07333333333333
scatter,Enc,8,512,t_avg[usec],52.0,55.43,46.91,51.446666666666665
scatter,Enc,8,1024,t_avg[usec],64.73,66.51,57.16,62.800000000000004
scatter,Enc,8,2048,t_avg[usec],96.02,95.38,82.72,91.37333333333333
scatter,Enc,8,4096,t_avg[usec],115.17,116.27,106.96,112.8
scatter,Enc,8,8192,t_avg[usec],163.3,161.75,152.35,159.13333333333333
scatter,Enc,8,16384,t_avg[usec],263.88,258.72,265.48,262.6933333333333
scatter,Enc,8,32768,t_avg[usec],463.56,437.95,463.42,454.9766666666667
scatter,Enc,8,65536,t_avg[usec],1614.83,1686.52,1449.01,1583.4533333333334
scatter,Enc,8,131072,t_avg[usec],2992.47,3049.41,2543.57,2861.8166666666666
scatter,Enc,8,262144,t_avg[usec],6355.41,6329.21,6323.55,6336.056666666666
scatter,Enc,8,524288,t_avg[usec],13057.35,13063.86,13047.86,13056.356666666667
scatter,Enc,8,1048576,t_avg[usec],26758.93,26723.87,26693.46,26725.42
scatter,Enc,8,2097152,t_avg[usec],54451.04,54370.96,54199.71,54340.57
scatter,Enc,8,4194304,t_avg[usec],109775.1,110765.38,109499.33,110013.27
scatter,Unenc,2,0,t_avg[usec],0.03,0.03,0.03,0.03
scatter,Unenc,2,2,t_avg[usec],21.61,23.87,23.2,22.893333333333334
scatter,Unenc,2,4,t_avg[usec],21.48,22.6,22.93,22.336666666666666
scatter,Unenc,2,8,t_avg[usec],21.64,23.09,23.18,22.636666666666667
scatter,Unenc,2,16,t_avg[usec],21.67,23.14,23.26,22.69
scatter,Unenc,2,32,t_avg[usec],21.76,23.52,23.64,22.973333333333333
scatter,Unenc,2,64,t_avg[usec],22.31,25.26,25.18,24.25
