benchmark,mode,processes,bytes,metric,run1,run2,run3,avg_of_3runs
gatherv,Enc,2,0,t_avg[usec],169.01,175.1,173.04,172.38333333333333
gatherv,Enc,2,2,t_avg[usec],168.89,175.35,169.01,171.08333333333331
gatherv,Enc,2,4,t_avg[usec],166.03,176.23,173.34,171.86666666666667
gatherv,Enc,2,8,t_avg[usec],169.31,176.68,173.3,173.09666666666666
gatherv,Enc,2,16,t_avg[usec],167.5,174.67,172.91,171.69333333333333
gatherv,Enc,2,32,t_avg[usec],167.68,176.77,174.83,173.09333333333333
gatherv,Enc,2,64,t_avg[usec],162.24,169.95,167.68,166.62333333333333
gatherv,Enc,2,128,t_avg[usec],167.7,177.44,173.32,172.82
gatherv,Enc,2,256,t_avg[usec],170.14,176.73,174.35,173.73999999999998
gatherv,Enc,2,512,t_avg[usec],178.71,185.25,175.64,179.86666666666667
gatherv,Enc,2,1024,t_avg[usec],180.5,186.63,184.11,183.74666666666667
gatherv,Enc,2,2048,t_avg[usec],171.22,178.87,177.08,175.72333333333333
gatherv,Enc,2,4096,t_avg[usec],187.73,190.62,191.11,189.82
gatherv,Enc,2,8192,t_avg[usec],194.5,200.97,190.81,195.42666666666668
gatherv,Enc,2,16384,t_avg[usec],236.93,241.37,234.04,237.44666666666666
gatherv,Enc,2,32768,t_avg[usec],318.05,316.64,317.01,317.23333333333335
gatherv,Enc,2,65536,t_avg[usec],737.45,735.43,740.67,737.85
gatherv,Enc,2,131072,t_avg[usec],1052.07,1054.65,1060.49,1055.7366666666667
gatherv,Enc,2,262144,t_avg[usec],2255.66,2251.47,2251.25,2252.793333333333
gatherv,Enc,2,524288,t_avg[usec],4454.84,4454.27,4453.38,4454.163333333334
gatherv,Enc,2,1048576,t_avg[usec],9202.38,9207.65,9200.49,9203.506666666666
gatherv,Enc,2,2097152,t_avg[usec],18663.25,18682.15,18651.04,18665.48
gatherv,Enc,2,4194304,t_avg[usec],38068.07,37987.12,37918.56,37991.25
gatherv,Enc,4,0,t_avg[usec],115.18,117.22,114.63,115.67666666666666
gatherv,Enc,4,2,t_avg[usec],121.09,122.99,120.27,121.45
gatherv,Enc,4,4,t_avg[usec],120.64,123.06,120.38,121.36
gatherv,Enc,4,8,t_avg[usec],122.29,123.19,120.89,122.12333333333333
gatherv,Enc,4,16,t_avg[usec],118.59,120.42,117.91,118.97333333333333
gatherv,Enc,4,32,t_avg[usec],121.81,123.86,121.66,122.44333333333333
gatherv,Enc,4,64,t_avg[usec],120.52,123.2,120.01,121.24333333333334
gatherv,Enc,4,128,t_avg[usec],124.97,127.36,123.92,125.41666666666667
gatherv,Enc,4,256,t_avg[usec],126.23,128.41,126.14,126.92666666666666
gatherv,Enc,4,512,t_avg[usec],129.35,130.94,129.75,130.01333333333332
gatherv,Enc,4,1024,t_avg[usec],137.8,136.49,140.22,138.17000000000002
gatherv,Enc,4,2048,t_avg[usec],166.26,167.87,167.72,167.28333333333333
gatherv,Enc,4,4096,t_avg[usec],161.23,164.57,160.2,162.0
gatherv,Enc,4,8192,t_avg[usec],182.47,187.55,181.44,183.82
gatherv,Enc,4,16384,t_avg[usec],229.83,235.53,229.83,231.73000000000002
gatherv,Enc,4,32768,t_avg[usec],348.32,352.3,347.47,349.36333333333334
gatherv,Enc,4,65536,t_avg[usec],1650.48,1642.24,1653.66,1648.7933333333333
gatherv,Enc,4,131072,t_avg[usec],2559.95,2554.6,2562.13,2558.8933333333334
gatherv,Enc,4,262144,t_avg[usec],5208.27,5196.85,5205.6,5203.573333333334
gatherv,Enc,4,524288,t_avg[usec],10050.02,10037.79,10040.18,10042.663333333334
gatherv,Enc,4,1048576,t_avg[usec],20401.51,20424.85,20419.8,20415.386666666665
gatherv,Enc,4,2097152,t_avg[usec],41167.58,41205.85,41188.64,41187.35666666667
gatherv,Enc,4,4194304,t_avg[usec],82960.7,83106.93,83037.6,83035.07666666666
gatherv,Enc,8,0,t_avg[usec],124.85,124.87,123.48,124.4
gatherv,Enc,8,2,t_avg[usec],118.64,120.06,116.85,118.51666666666667
gatherv,Enc,8,4,t_avg[usec],125.14,125.92,122.68,124.58
gatherv,Enc,8,8,t_avg[usec],128.43,129.11,126.15,127.89666666666668
gatherv,Enc,8,16,t_avg[usec],127.81,128.08,126.51,127.46666666666667
gatherv,Enc,8,32,t_avg[usec],122.81,124.06,121.03,122.63333333333334
gatherv,Enc,8,64,t_avg[usec],128.6,129.3,126.12,128.00666666666666
gatherv,Enc,8,128,t_avg[usec],128.14,128.74,126.8,127.89333333333333
gatherv,Enc,8,256,t_avg[usec],122.95,123.25,121.04,122.41333333333334
gatherv,Enc,8,512,t_avg[usec],123.49,124.56,122.11,123.38666666666667
gatherv,Enc,8,1024,t_avg[usec],124.81,125.83,123.65,124.76333333333334
gatherv,Enc,8,2048,t_avg[usec],120.53,121.63,118.81,120.32333333333334
gatherv,Enc,8,4096,t_avg[usec],122.89,123.11,120.84,122.28
gatherv,Enc,8,8192,t_avg[usec],129.38,128.82,127.77,128.65666666666667
gatherv,Enc,8,16384,t_avg[usec],163.0,163.18,161.89,162.69
gatherv,Enc,8,32768,t_avg[usec],226.65,227.68,224.48,226.27
gatherv,Enc,8,65536,t_avg[usec],2750.19,2731.7,2737.67,2739.8533333333335
gatherv,Enc,8,131072,t_avg[usec],4199.19,4183.24,4202.95,4195.126666666666
gatherv,Enc,8,262144,t_avg[usec],7646.99,7610.15,7639.3,7632.1466666666665
gatherv,Enc,8,524288,t_avg[usec],14272.67,14274.86,14238.87,14262.133333333333
gatherv,Enc,8,1048576,t_avg[usec],27380.45,27544.07,27468.79,27464.43666666667
gatherv,Enc,8,2097152,t_avg[usec],54237.56,54623.27,54371.66,54410.83
gatherv,Enc,8,4194304,t_avg[usec],109342.42,109877.2,109652.15,109623.92333333332
gatherv,Unenc,2,0,t_avg[usec],0.61,0.62,0.6,0.61
gatherv,Unenc,2,2,t_avg[usec],93.09,93.41,94.08,93.52666666666667
gatherv,Unenc,2,4,t_avg[usec],94.21,93.68,94.21,94.03333333333333
gatherv,Unenc,2,8,t_avg[usec],92.66,93.72,94.28,93.55333333333333
gatherv,Unenc,2,16,t_avg[usec],92.96,94.59,94.07,93.87333333333333
gatherv,Unenc,2,32,t_avg[usec],96.17,94.94,94.6,95.23666666666666
gatherv,Unenc,2,64,t_avg[usec],94.4,95.85,94.57,94.94
gatherv,Unenc,2,128,t_avg[usec],99.04,96.38,95.21,96.87666666666667
gatherv,Unenc,2,256,t_avg[usec],100.89,99.21,98.5,99.53333333333333
gatherv,Unenc,2,512,t_avg[usec],101.48,100.54,100.33,100.78333333333333
gatherv,Unenc,2,1024,t_avg[usec],105.55,106.36,105.96,105.95666666666666
gatherv,Unenc,2,2048,t_avg[usec],123.5,122.81,122.85,123.05333333333333
gatherv,Unenc,2,4096,t_avg[usec],125.24,124.25,124.13,124.53999999999999
gatherv,Unenc,2,8192,t_avg[usec],146.53,144.96,144.3,145.26333333333335
gatherv,Unenc,2,16384,t_avg[usec],184.58,183.87,183.65,184.03333333333333
gatherv,Unenc,2,32768,t_avg[usec],256.77,257.9,257.57,257.4133333333333
gatherv,Unenc,2,65536,t_avg[usec],594.6,592.0,593.66,593.42
gatherv,Unenc,2,131072,t_avg[usec],875.28,874.15,872.06,873.8299999999999
gatherv,Unenc,2,262144,t_avg[usec],2004.86,2005.1,2003.77,2004.5766666666666
gatherv,Unenc,2,524288,t_avg[usec],4073.21,4073.8,4074.17,4073.726666666667
gatherv,Unenc,2,1048576,t_avg[usec],8715.15,8602.12,8595.48,8637.583333333334
gatherv,Unenc,2,2097152,t_avg[usec],17695.73,17676.78,17671.66,17681.39
gatherv,Unenc,2,4194304,t_avg[usec],35998.52,35992.81,36018.22,36003.183333333334
gatherv,Unenc,4,0,t_avg[usec],0.69,0.71,0.71,0.7033333333333333
gatherv,Unenc,4,2,t_avg[usec],62.95,61.76,60.72,61.81
