benchmark,mode,processes,bytes,metric,run1,run2,run3,avg_of_3runs
pingpong,Enc,2,0,Mbytes/sec,0.0,0.0,0.0,0.0
pingpong,Enc,2,2,Mbytes/sec,0.02,0.02,0.02,0.02
pingpong,Enc,2,4,Mbytes/sec,0.03,0.03,0.03,0.03
pingpong,Enc,2,8,Mbytes/sec,0.06,0.06,0.06,0.06
pingpong,Enc,2,16,Mbytes/sec,0.12,0.12,0.12,0.12
pingpong,Enc,2,32,Mbytes/sec,0.24,0.23,0.24,0.23666666666666666
pingpong,Enc,2,64,Mbytes/sec,0.46,0.45,0.46,0.45666666666666667
pingpong,Enc,2,128,Mbytes/sec,0.91,0.9,0.92,0.91
pingpong,Enc,2,256,Mbytes/sec,1.81,1.79,1.81,1.8033333333333335
pingpong,Enc,2,512,Mbytes/sec,3.31,3.37,3.32,3.3333333333333335
pingpong,Enc,2,1024,Mbytes/sec,6.15,6.11,6.15,6.136666666666667
pingpong,Enc,2,2048,Mbytes/sec,10.46,10.55,10.67,10.56
pingpong,Enc,2,4096,Mbytes/sec,20.12,19.77,20.17,20.02
pingpong,Enc,2,8192,Mbytes/sec,35.25,35.21,35.76,35.406666666666666
pingpong,Enc,2,16384,Mbytes/sec,51.99,51.06,51.81,51.620000000000005
pingpong,Enc,2,32768,Mbytes/sec,69.49,69.81,70.36,69.88666666666667
pingpong,Enc,2,65536,Mbytes/sec,69.63,70.34,70.49,70.15333333333334
pingpong,Enc,2,131072,Mbytes/sec,85.09,85.45,85.93,85.49000000000001
pingpong,Enc,2,262144,Mbytes/sec,95.58,95.86,96.1,95.84666666666666
pingpong,Enc,2,524288,Mbytes/sec,102.26,102.73,102.85,102.61333333333333
pingpong,Enc,2,1048576,Mbytes/sec,105.6,106.29,106.3,106.06333333333333
pingpong,Enc,2,2097152,Mbytes/sec,107.63,108.19,108.21,108.00999999999999
pingpong,Enc,2,4194304,Mbytes/sec,107.51,108.48,108.62,108.20333333333333
pingpong,Unenc,2,0,Mbytes/sec,0.0,0.0,0.0,0.0
pingpong,Unenc,2,2,Mbytes/sec,0.02,0.02,0.02,0.02
pingpong,Unenc,2,4,Mbytes/sec,0.04,0.04,0.04,0.04
pingpong,Unenc,2,8,Mbytes/sec,0.09,0.09,0.09,0.09
pingpong,Unenc,2,16,Mbytes/sec,0.17,0.17,0.18,0.17333333333333334
pingpong,Unenc,2,32,Mbytes/sec,0.34,0.34,0.35,0.3433333333333333
pingpong,Unenc,2,64,Mbytes/sec,0.68,0.68,0.7,0.6866666666666666
pingpong,Unenc,2,128,Mbytes/sec,1.31,1.3,1.31,1.3066666666666666
pingpong,Unenc,2,256,Mbytes/sec,2.54,2.52,2.52,2.526666666666667
pingpong,Unenc,2,512,Mbytes/sec,4.71,4.69,4.65,4.683333333333334
pingpong,Unenc,2,1024,Mbytes/sec,8.28,8.28,8.41,8.323333333333332
pingpong,Unenc,2,2048,Mbytes/sec,13.48,13.5,13.8,13.593333333333334
pingpong,Unenc,2,4096,Mbytes/sec,25.76,25.79,26.35,25.96666666666667
pingpong,Unenc,2,8192,Mbytes/sec,42.02,42.03,42.2,42.083333333333336
pingpong,Unenc,2,16384,Mbytes/sec,60.23,60.23,61.11,60.52333333333333
pingpong,Unenc,2,32768,Mbytes/sec,78.61,78.6,79.46,78.89
pingpong,Unenc,2,65536,Mbytes/sec,75.25,75.35,75.4,75.33333333333333
pingpong,Unenc,2,131072,Mbytes/sec,91.47,91.52,91.84,91.61
pingpong,Unenc,2,262144,Mbytes/sec,101.75,101.72,102.01,101.82666666666667
pingpong,Unenc,2,524288,Mbytes/sec,108.41,108.47,108.5,108.46
pingpong,Unenc,2,1048576,Mbytes/sec,111.98,111.97,112.06,112.00333333333333
pingpong,Unenc,2,2097152,Mbytes/sec,114.04,113.98,114.04,114.02000000000001
pingpong,Unenc,2,4194304,Mbytes/sec,114.91,114.91,114.95,114.92333333333333
