benchmark,mode,processes,bytes,metric,run1,run2,run3,avg_of_3runs
reduce,Enc,2,0,t_avg[usec],134.67,133.15,134.34,134.05333333333334
reduce,Enc,2,4,t_avg[usec],134.82,135.65,133.83,134.76666666666668
reduce,Enc,2,8,t_avg[usec],136.79,133.86,133.89,134.84666666666666
reduce,Enc,2,16,t_avg[usec],135.79,132.74,136.03,134.85333333333332
reduce,Enc,2,32,t_avg[usec],138.06,134.51,135.49,136.02
reduce,Enc,2,64,t_avg[usec],138.39,136.75,136.53,137.22333333333333
reduce,Enc,2,128,t_avg[usec],132.87,131.17,133.34,132.46
reduce,Enc,2,256,t_avg[usec],137.97,137.05,140.87,138.63
reduce,Enc,2,512,t_avg[usec],141.69,141.64,142.04,141.79
reduce,Enc,2,1024,t_avg[usec],147.3,146.97,148.02,147.43
reduce,Enc,2,2048,t_avg[usec],163.49,164.23,164.72,164.14666666666668
reduce,Enc,2,4096,t_avg[usec],153.71,153.33,154.41,153.81666666666666
reduce,Enc,2,8192,t_avg[usec],186.81,187.1,190.75,188.22
reduce,Enc,2,16384,t_avg[usec],229.7,230.3,230.23,230.07666666666665
reduce,Enc,2,32768,t_avg[usec],298.28,299.13,300.67,299.36
reduce,Enc,2,65536,t_avg[usec],649.53,657.45,817.28,708.0866666666667
reduce,Enc,2,131072,t_avg[usec],963.44,966.11,969.29,966.28
reduce,Enc,2,262144,t_avg[usec],2142.46,2144.92,2125.83,2137.7366666666667
reduce,Enc,2,524288,t_avg[usec],4311.57,4318.76,4344.3,4324.876666666667
reduce,Enc,2,1048576,t_avg[usec],8998.4,8991.1,9023.12,9004.206666666667
reduce,Enc,2,2097152,t_avg[usec],18331.75,18344.59,18416.3,18364.213333333333
reduce,Enc,2,4194304,t_avg[usec],37128.7,37214.14,37287.99,37210.276666666665
reduce,Enc,4,0,t_avg[usec],93.68,94.95,94.56,94.39666666666668
reduce,Enc,4,4,t_avg[usec],99.59,100.12,100.45,100.05333333333334
reduce,Enc,4,8,t_avg[usec],100.0,99.72,99.76,99.82666666666667
reduce,Enc,4,16,t_avg[usec],99.96,100.13,99.08,99.72333333333333
reduce,Enc,4,32,t_avg[usec],99.94,100.17,101.03,100.38
reduce,Enc,4,64,t_avg[usec],99.18,100.82,100.76,100.25333333333333
reduce,Enc,4,128,t_avg[usec],100.24,101.69,101.41,101.11333333333333
reduce,Enc,4,256,t_avg[usec],102.31,103.43,102.27,102.67
reduce,Enc,4,512,t_avg[usec],109.35,109.17,106.98,108.5
reduce,Enc,4,1024,t_avg[usec],115.09,115.54,124.69,118.44
reduce,Enc,4,2048,t_avg[usec],144.9,144.43,146.11,145.14666666666668
reduce,Enc,4,4096,t_avg[usec],137.93,137.7,136.75,137.46
reduce,Enc,4,8192,t_avg[usec],166.15,165.68,167.05,166.29333333333335
reduce,Enc,4,16384,t_avg[usec],227.88,226.15,227.39,227.14
reduce,Enc,4,32768,t_avg[usec],333.31,332.38,339.12,334.93666666666667
reduce,Enc,4,65536,t_avg[usec],1587.65,1585.54,1584.67,1585.9533333333334
reduce,Enc,4,131072,t_avg[usec],2474.59,2479.87,2480.18,2478.213333333333
reduce,Enc,4,262144,t_avg[usec],5123.23,5124.43,5130.75,5126.136666666666
reduce,Enc,4,524288,t_avg[usec],10105.14,10113.41,10131.41,10116.653333333334
reduce,Enc,4,1048576,t_avg[usec],20370.88,20434.98,20576.2,20460.68666666667
reduce,Enc,4,2097152,t_avg[usec],41366.25,41412.35,41750.71,41509.77
reduce,Enc,4,4194304,t_avg[usec],83615.08,83793.93,84524.89,83977.96666666666
reduce,Enc,8,0,t_avg[usec],99.79,98.43,96.86,98.36
reduce,Enc,8,4,t_avg[usec],93.66,93.03,92.08,92.92333333333333
reduce,Enc,8,8,t_avg[usec],99.29,98.12,95.95,97.78666666666668
reduce,Enc,8,16,t_avg[usec],100.37,99.71,96.97,99.01666666666667
reduce,Enc,8,32,t_avg[usec],100.09,100.54,97.71,99.44666666666667
reduce,Enc,8,64,t_avg[usec],95.79,95.46,93.52,94.92333333333333
reduce,Enc,8,128,t_avg[usec],102.61,103.44,101.08,102.37666666666667
reduce,Enc,8,256,t_avg[usec],103.87,104.07,102.21,103.38333333333333
reduce,Enc,8,512,t_avg[usec],104.3,104.32,102.78,103.8
reduce,Enc,8,1024,t_avg[usec],105.7,105.53,104.03,105.08666666666667
reduce,Enc,8,2048,t_avg[usec],105.7,106.28,105.39,105.79
reduce,Enc,8,4096,t_avg[usec],101.21,100.31,99.59,100.37
