benchmark,mode,processes,bytes,metric,run1,run2,run3,avg_of_3runs
scatterv,Enc,2,0,t_avg[usec],186.05,181.27,182.81,183.37666666666667
scatterv,Enc,2,2,t_avg[usec],185.66,181.23,180.5,182.46333333333334
scatterv,Enc,2,4,t_avg[usec],186.77,180.49,181.79,183.01666666666668
scatterv,Enc,2,8,t_avg[usec],187.42,181.45,181.87,183.57999999999998
scatterv,Enc,2,16,t_avg[usec],185.5,180.1,181.97,182.52333333333334
scatterv,Enc,2,32,t_avg[usec],187.89,182.19,182.52,184.2
scatterv,Enc,2,64,t_avg[usec],183.29,173.63,178.0,178.30666666666667
scatterv,Enc,2,128,t_avg[usec],186.9,177.28,180.72,181.63333333333333
scatterv,Enc,2,256,t_avg[usec],179.11,175.54,181.98,178.87666666666667
scatterv,Enc,2,512,t_avg[usec],188.08,180.87,188.49,185.81333333333333
scatterv,Enc,2,1024,t_avg[usec],188.85,184.04,184.64,185.84333333333333
scatterv,Enc,2,2048,t_avg[usec],196.73,193.45,199.58,196.58666666666667
scatterv,Enc,2,4096,t_avg[usec],200.53,198.64,203.7,200.95666666666665
scatterv,Enc,2,8192,t_avg[usec],218.36,216.03,217.17,217.18666666666667
scatterv,Enc,2,16384,t_avg[usec],262.76,258.15,264.34,261.75
scatterv,Enc,2,32768,t_avg[usec],349.93,345.18,344.54,346.55
scatterv,Enc,2,65536,t_avg[usec],733.85,728.95,729.17,730.6566666666666
scatterv,Enc,2,131072,t_avg[usec],1080.28,1078.51,1072.84,1077.21
scatterv,Enc,2,262144,t_avg[usec],2310.66,2302.56,2309.63,2307.616666666667
scatterv,Enc,2,524288,t_avg[usec],4581.1,4579.77,4581.54,4580.803333333333
scatterv,Enc,2,1048576,t_avg[usec],9435.01,9437.32,9434.96,9435.763333333332
scatterv,Enc,2,2097152,t_avg[usec],19169.4,19178.76,19139.42,19162.526666666665
scatterv,Enc,2,4194304,t_avg[usec],39158.96,39140.78,39192.86,39164.2
