benchmark,mode,processes,bytes,metric,run1,run2,run3,avg_of_3runs
alltoall,Enc,2,0,t_avg[usec],38.63,38.91,36.72,38.086666666666666
alltoall,Enc,2,2,t_avg[usec],38.6,38.95,36.87,38.14
alltoall,Enc,2,4,t_avg[usec],38.73,38.94,36.89,38.18666666666667
alltoall,Enc,2,8,t_avg[usec],38.61,38.89,36.93,38.14333333333333
alltoall,Enc,2,16,t_avg[usec],39.5,39.7,37.35,38.85
alltoall,Enc,2,32,t_avg[usec],39.57,39.72,37.71,39.0
alltoall,Enc,2,64,t_avg[usec],41.04,41.26,39.02,40.44
alltoall,Enc,2,128,t_avg[usec],42.25,42.54,40.34,41.71
alltoall,Enc,2,256,t_avg[usec],47.29,47.42,44.89,46.53333333333333
alltoall,Enc,2,512,t_avg[usec],54.22,55.05,52.04,53.769999999999996
alltoall,Enc,2,1024,t_avg[usec],68.3,68.34,65.53,67.39
alltoall,Enc,2,2048,t_avg[usec],100.92,101.11,97.91,99.98
alltoall,Enc,2,4096,t_avg[usec],106.73,108.0,103.42,106.05
alltoall,Enc,2,8192,t_avg[usec],147.23,148.3,143.86,146.46333333333334
alltoall,Enc,2,16384,t_avg[usec],229.21,230.07,224.02,227.76666666666668
alltoall,Enc,2,32768,t_avg[usec],384.79,385.58,381.55,383.97333333333336
alltoall,Enc,2,65536,t_avg[usec],762.85,767.73,759.13,763.2366666666667
alltoall,Enc,2,131072,t_avg[usec],1456.27,1453.84,1446.43,1452.18
alltoall,Enc,2,262144,t_avg[usec],2768.36,2768.9,2753.69,2763.65
alltoall,Enc,2,524288,t_avg[usec],5392.88,5392.42,5367.45,5384.25
alltoall,Enc,2,1048576,t_avg[usec],10632.07,10636.11,10585.6,10617.926666666666
alltoall,Enc,2,2097152,t_avg[usec],21176.31,21302.99,21080.89,21186.73
alltoall,Enc,2,4194304,t_avg[usec],42523.41,42532.42,42312.26,42456.03
alltoall,Enc,4,0,t_avg[usec],51.46,54.68,53.23,53.123333333333335
alltoall,Enc,4,2,t_avg[usec],51.49,54.6,53.85,53.31333333333333
alltoall,Enc,4,4,t_avg[usec],51.49,54.5,53.57,53.18666666666667
alltoall,Enc,4,8,t_avg[usec],51.44,54.66,53.68,53.26
alltoall,Enc,4,16,t_avg[usec],51.92,54.76,53.63,53.43666666666667
alltoall,Enc,4,32,t_avg[usec],52.37,55.11,54.5,53.99333333333333
alltoall,Enc,4,64,t_avg[usec],52.73,55.57,54.78,54.36
alltoall,Enc,4,128,t_avg[usec],53.61,56.03,55.86,55.166666666666664
alltoall,Enc,4,256,t_avg[usec],57.42,60.78,59.42,59.20666666666667
alltoall,Enc,4,512,t_avg[usec],62.54,66.42,64.23,64.39666666666668
alltoall,Enc,4,1024,t_avg[usec],77.39,77.59,76.44,77.14
alltoall,Enc,4,2048,t_avg[usec],122.48,124.86,124.29,123.87666666666667
alltoall,Enc,4,4096,t_avg[usec],226.46,230.97,225.29,227.57333333333332
alltoall,Enc,4,8192,t_avg[usec],318.98,320.91,314.33,318.0733333333333
alltoall,Enc,4,16384,t_avg[usec],496.56,507.1,501.81,501.8233333333333
alltoall,Enc,4,32768,t_avg[usec],883.21,892.46,884.0,886.5566666666667
alltoall,Enc,4,65536,t_avg[usec],2728.08,2449.22,2463.36,2546.8866666666668
alltoall,Enc,4,131072,t_avg[usec],4675.53,4653.45,4699.89,4676.29
alltoall,Enc,4,262144,t_avg[usec],9149.41,9167.67,9208.09,9175.056666666667
alltoall,Enc,4,524288,t_avg[usec],18718.5,18303.31,18306.85,18442.886666666665
alltoall,Enc,4,1048576,t_avg[usec],37112.2,36485.55,36677.49,36758.41333333333
alltoall,Enc,4,2097152,t_avg[usec],73921.62,73371.6,73439.46,73577.56
alltoall,Enc,4,4194304,t_avg[usec],147331.21,146429.96,146510.53,146757.23333333334
alltoall,Enc,8,0,t_avg[usec],90.48,83.95,91.84,88.75666666666667
alltoall,Enc,8,2,t_avg[usec],91.2,84.83,91.65,89.22666666666667
alltoall,Enc,8,4,t_avg[usec],90.9,84.35,92.1,89.11666666666666
alltoall,Enc,8,8,t_avg[usec],91.13,84.91,92.18,89.40666666666667
alltoall,Enc,8,16,t_avg[usec],91.42,85.42,93.52,90.12
alltoall,Enc,8,32,t_avg[usec],91.75,85.51,93.11,90.12333333333333
alltoall,Enc,8,64,t_avg[usec],92.08,86.7,94.28,91.02
alltoall,Enc,8,128,t_avg[usec],94.96,90.16,97.77,94.29666666666667
alltoall,Enc,8,256,t_avg[usec],106.64,103.52,103.35,104.50333333333333
alltoall,Enc,8,512,t_avg[usec],140.45,128.39,139.53,136.12333333333333
alltoall,Enc,8,1024,t_avg[usec],184.75,195.72,194.85,191.77333333333334
alltoall,Enc,8,2048,t_avg[usec],342.56,343.21,346.49,344.08666666666664
alltoall,Enc,8,4096,t_avg[usec],657.11,644.03,653.42,651.52
alltoall,Enc,8,8192,t_avg[usec],1133.6,1140.38,1140.04,1138.0066666666667
alltoall,Enc,8,16384,t_avg[usec],2119.93,2120.36,2126.15,2122.1466666666665
alltoall,Enc,8,32768,t_avg[usec],4144.14,4129.56,4141.66,4138.453333333334
alltoall,Enc,8,65536,t_avg[usec],9381.05,8982.31,9122.79,9162.05
alltoall,Enc,8,131072,t_avg[usec],19223.09,19317.51,18478.39,19006.329999999998
alltoall,Enc,8,262144,t_avg[usec],40959.48,37891.22,37617.4,38822.700000000004
alltoall,Enc,8,524288,t_avg[usec],81536.17,76376.89,76537.4,78150.15333333334
alltoall,Enc,8,1048576,t_avg[usec],163596.71,153696.68,157220.32,158171.23666666666
alltoall,Enc,8,2097152,t_avg[usec],310265.81,305515.75,299770.53,305184.03
alltoall,Enc,8,4194304,t_avg[usec],598223.6,586051.72,612714.17,598996.4966666667
alltoall,Unenc,2,0,t_avg[usec],0.04,0.04,0.04,0.04
alltoall,Unenc,2,2,t_avg[usec],30.44,33.66,33.69,32.596666666666664
alltoall,Unenc,2,4,t_avg[usec],30.4,33.81,33.3,32.50333333333333
alltoall,Unenc,2,8,t_avg[usec],30.51,34.04,34.02,32.85666666666667
alltoall,Unenc,2,16,t_avg[usec],30.64,33.86,33.73,32.74333333333333
alltoall,Unenc,2,32,t_avg[usec],30.72,34.85,34.51,33.36
alltoall,Unenc,2,64,t_avg[usec],31.81,36.06,35.65,34.50666666666667
alltoall,Unenc,2,128,t_avg[usec],33.43,37.38,37.6,36.13666666666667
alltoall,Unenc,2,256,t_avg[usec],38.1,39.33,39.36,38.93
alltoall,Unenc,2,512,t_avg[usec],44.91,46.22,46.12,45.75
alltoall,Unenc,2,1024,t_avg[usec],58.56,58.61,58.65,58.60666666666667
alltoall,Unenc,2,2048,t_avg[usec],90.34,90.47,89.86,90.22333333333333
alltoall,Unenc,2,4096,t_avg[usec],95.93,96.57,96.36,96.28666666666666
alltoall,Unenc,2,8192,t_avg[usec],134.23,133.9,134.0,134.04333333333332
alltoall,Unenc,2,16384,t_avg[usec],211.31,210.75,210.42,210.82666666666665
alltoall,Unenc,2,32768,t_avg[usec],354.7,354.46,354.36,354.50666666666666
alltoall,Unenc,2,65536,t_avg[usec],1023.78,967.99,974.82,988.8633333333333
alltoall,Unenc,2,131072,t_avg[usec],1558.36,1847.88,1590.98,1665.74
alltoall,Unenc,2,262144,t_avg[usec],2560.65,2544.62,2544.28,2549.85
alltoall,Unenc,2,524288,t_avg[usec],6240.62,4963.15,4960.92,5388.23
alltoall,Unenc,2,1048576,t_avg[usec],9774.21,9780.43,9776.07,9776.903333333334
alltoall,Unenc,2,2097152,t_avg[usec],19400.1,19406.35,19408.18,19404.876666666667
alltoall,Unenc,2,4194304,t_avg[usec],38700.06,38677.22,38691.43,38689.57
alltoall,Unenc,4,0,t_avg[usec],0.03,0.03,0.03,0.03
alltoall,Unenc,4,2,t_avg[usec],38.64,44.75,39.55,40.98
alltoall,Unenc,4,4,t_avg[usec],39.41,44.64,39.42,41.156666666666666
alltoall,Unenc,4,8,t_avg[usec],38.98,44.59,39.6,41.056666666666665
alltoall,Unenc,4,16,t_avg[usec],39.8,45.05,39.74,41.53
alltoall,Unenc,4,32,t_avg[usec],40.08,44.86,39.47,41.47
alltoall,Unenc,4,64,t_avg[usec],39.65,45.46,40.01,41.70666666666666
alltoall,Unenc,4,128,t_avg[usec],40.37,44.96,40.46,41.93
alltoall,Unenc,4,256,t_avg[usec],44.61,47.21,44.72,45.513333333333335
alltoall,Unenc,4,512,t_avg[usec],50.25,51.51,49.2,50.32
alltoall,Unenc,4,1024,t_avg[usec],56.49,64.74,60.47,60.56666666666666
alltoall,Unenc,4,2048,t_avg[usec],104.0,100.4,97.66,100.68666666666667
alltoall,Unenc,4,4096,t_avg[usec],220.94,226.29,214.94,220.72333333333333
alltoall,Unenc,4,8192,t_avg[usec],312.36,310.41,305.12,309.2966666666667
alltoall,Unenc,4,16384,t_avg[usec],513.12,504.07,515.91,511.0333333333333
alltoall,Unenc,4,32768,t_avg[usec],837.09,839.09,833.79,836.6566666666666
alltoall,Unenc,4,65536,t_avg[usec],2591.7,2358.54,2594.54,2514.9266666666667
alltoall,Unenc,4,131072,t_avg[usec],4595.62,4561.37,4604.99,4587.326666666667
alltoall,Unenc,4,262144,t_avg[usec],9412.23,8925.01,9331.79,9223.01
alltoall,Unenc,4,524288,t_avg[usec],18043.13,17569.43,17959.86,17857.473333333335
alltoall,Unenc,4,1048576,t_avg[usec],35468.83,34894.63,34787.53,35050.33
alltoall,Unenc,4,2097152,t_avg[usec],69785.53,69755.07,69627.72,69722.77333333333
alltoall,Unenc,4,4194304,t_avg[usec],138908.76,139213.85,139446.74,139189.78333333333
alltoall,Unenc,8,0,t_avg[usec],0.03,0.03,0.03,0.03
alltoall,Unenc,8,2,t_avg[usec],70.69,67.57,71.28,69.84666666666666
alltoall,Unenc,8,4,t_avg[usec],70.87,67.28,69.74,69.29666666666667
alltoall,Unenc,8,8,t_avg[usec],71.0,67.17,69.8,69.32333333333334
alltoall,Unenc,8,16,t_avg[usec],71.92,67.35,70.32,69.86333333333333
alltoall,Unenc,8,32,t_avg[usec],73.32,67.55,69.57,70.14666666666666
alltoall,Unenc,8,64,t_avg[usec],74.58,68.6,70.56,71.24666666666667
alltoall,Unenc,8,128,t_avg[usec],76.82,73.5,73.8,74.70666666666666
alltoall,Unenc,8,256,t_avg[usec],82.0,77.95,84.35,81.43333333333334
alltoall,Unenc,8,512,t_avg[usec],101.82,102.68,99.31,101.27
alltoall,Unenc,8,1024,t_avg[usec],150.94,154.44,163.69,156.35666666666665
alltoall,Unenc,8,2048,t_avg[usec],301.49,295.0,298.22,298.2366666666667
alltoall,Unenc,8,4096,t_avg[usec],595.55,597.49,598.45,597.1633333333333
alltoall,Unenc,8,8192,t_avg[usec],1080.07,1077.27,1083.72,1080.3533333333332
alltoall,Unenc,8,16384,t_avg[usec],2034.1,2033.76,2029.27,2032.3766666666666
alltoall,Unenc,8,32768,t_avg[usec],4002.93,4005.06,3987.47,3998.4866666666667
alltoall,Unenc,8,65536,t_avg[usec],8805.36,9280.53,9693.05,9259.646666666667
alltoall,Unenc,8,131072,t_avg[usec],18414.7,18966.07,20186.34,19189.036666666667
alltoall,Unenc,8,262144,t_avg[usec],38492.69,38326.54,37654.09,38157.77333333333
alltoall,Unenc,8,524288,t_avg[usec],77046.04,75049.48,74735.99,75610.50333333333
alltoall,Unenc,8,1048576,t_avg[usec],152015.36,152507.27,148747.94,151090.19
alltoall,Unenc,8,2097152,t_avg[usec],297708.98,299406.91,291334.65,296150.18
alltoall,Unenc,8,4194304,t_avg[usec],570994.88,595329.5,562937.06,576420.48
