benchmark,mode,processes,bytes,metric,run1,run2,run3,avg_of_3runs
gather,Enc,2,0,t_avg[usec],33.33,33.5,31.13,32.653333333333336
gather,Enc,2,2,t_avg[usec],33.11,33.83,31.36,32.766666666666666
gather,Enc,2,4,t_avg[usec],33.02,33.81,31.25,32.693333333333335
gather,Enc,2,8,t_avg[usec],33.27,33.83,31.21,32.77
gather,Enc,2,16,t_avg[usec],34.49,34.97,31.06,33.50666666666667
gather,Enc,2,32,t_avg[usec],34.84,35.32,31.37,33.843333333333334
gather,Enc,2,64,t_avg[usec],36.24,36.5,32.56,35.1
gather,Enc,2,128,t_avg[usec],37.31,37.96,34.06,36.443333333333335
gather,Enc,2,256,t_avg[usec],44.37,44.94,42.12,43.809999999999995
gather,Enc,2,512,t_avg[usec],47.92,49.07,45.83,47.60666666666667
gather,Enc,2,1024,t_avg[usec],54.32,55.68,52.49,54.163333333333334
gather,Enc,2,2048,t_avg[usec],67.45,70.59,66.67,68.23666666666666
gather,Enc,2,4096,t_avg[usec],68.03,75.33,71.46,71.60666666666667
gather,Enc,2,8192,t_avg[usec],94.78,111.25,107.6,104.54333333333334
gather,Enc,2,16384,t_avg[usec],132.18,143.73,138.33,138.08
gather,Enc,2,32768,t_avg[usec],208.14,213.8,209.06,210.33333333333334
gather,Enc,2,65536,t_avg[usec],362.74,365.34,362.03,363.37
gather,Enc,2,131072,t_avg[usec],920.56,928.91,913.08,920.85
gather,Enc,2,262144,t_avg[usec],1546.75,1559.38,1543.29,1549.8066666666666
gather,Enc,2,524288,t_avg[usec],3750.74,3758.4,3738.59,3749.2433333333333
gather,Enc,2,1048576,t_avg[usec],8834.97,8849.04,8834.59,8839.533333333333
gather,Enc,2,2097152,t_avg[usec],18108.52,18126.39,18115.77,18116.893333333333
gather,Enc,2,4194304,t_avg[usec],36761.01,36782.1,36717.26,36753.456666666665
gather,Enc,4,0,t_avg[usec],22.92,25.5,24.13,24.183333333333334
gather,Enc,4,2,t_avg[usec],23.86,26.73,24.67,25.086666666666666
gather,Enc,4,4,t_avg[usec],23.87,26.77,24.78,25.14
gather,Enc,4,8,t_avg[usec],24.11,26.74,24.72,25.189999999999998
gather,Enc,4,16,t_avg[usec],23.99,27.15,24.61,25.25
gather,Enc,4,32,t_avg[usec],23.99,27.11,24.63,25.243333333333332
gather,Enc,4,64,t_avg[usec],24.35,26.67,24.57,25.19666666666667
gather,Enc,4,128,t_avg[usec],24.89,25.95,25.59,25.476666666666667
gather,Enc,4,256,t_avg[usec],25.53,26.28,26.03,25.94666666666667
gather,Enc,4,512,t_avg[usec],28.36,30.2,30.9,29.82
gather,Enc,4,1024,t_avg[usec],35.57,36.26,34.41,35.413333333333334
gather,Enc,4,2048,t_avg[usec],43.37,45.29,44.63,44.43
gather,Enc,4,4096,t_avg[usec],54.58,56.58,56.16,55.77333333333333
gather,Enc,4,8192,t_avg[usec],160.22,174.75,169.23,168.06666666666666
gather,Enc,4,16384,t_avg[usec],223.07,236.74,237.99,232.6
gather,Enc,4,32768,t_avg[usec],372.75,375.59,375.15,374.49666666666667
gather,Enc,4,65536,t_avg[usec],668.97,671.07,671.59,670.5433333333334
gather,Enc,4,131072,t_avg[usec],1816.51,1804.99,1794.56,1805.3533333333332
gather,Enc,4,262144,t_avg[usec],2845.93,2814.55,2908.74,2856.4066666666668
gather,Enc,4,524288,t_avg[usec],8536.62,8511.22,8550.3,8532.713333333333
gather,Enc,4,1048576,t_avg[usec],23660.5,23811.92,23770.17,23747.53
