benchmark,mode,processes,bytes,metric,run1,run2,run3,avg_of_3runs
pingpong,Enc,2,0,Mbytes/sec,0.0,0.0,0.0,0.0
pingpong,Enc,2,2,Mbytes/sec,0.06,0.07,0.06,0.06333333333333334
pingpong,Enc,2,4,Mbytes/sec,0.11,0.13,0.11,0.11666666666666667
pingpong,Enc,2,8,Mbytes/sec,0.23,0.27,0.23,0.24333333333333335
pingpong,Enc,2,16,Mbytes/sec,0.44,0.52,0.45,0.47000000000000003
pingpong,Enc,2,32,Mbytes/sec,0.88,1.04,0.88,0.9333333333333333
pingpong,Enc,2,64,Mbytes/sec,1.7,1.99,1.7,1.7966666666666666
pingpong,Enc,2,128,Mbytes/sec,3.26,3.82,3.24,3.44
pingpong,Enc,2,256,Mbytes/sec,5.85,6.73,5.84,6.14
pingpong,Enc,2,512,Mbytes/sec,9.98,11.36,9.98,10.44
pingpong,Enc,2,1024,Mbytes/sec,15.96,17.68,15.9,16.513333333333335
pingpong,Enc,2,2048,Mbytes/sec,22.28,23.8,22.29,22.79
pingpong,Enc,2,4096,Mbytes/sec,40.98,43.98,40.89,41.949999999999996
pingpong,Enc,2,8192,Mbytes/sec,59.13,62.8,59.21,60.38
pingpong,Enc,2,16384,Mbytes/sec,75.7,79.62,75.81,77.04333333333334
pingpong,Enc,2,32768,Mbytes/sec,90.2,92.7,90.22,91.04
pingpong,Enc,2,65536,Mbytes/sec,90.52,92.97,90.6,91.36333333333333
pingpong,Enc,2,131072,Mbytes/sec,100.36,101.31,100.39,100.68666666666667
pingpong,Enc,2,262144,Mbytes/sec,105.33,106.46,105.39,105.72666666666666
pingpong,Enc,2,524288,Mbytes/sec,108.68,109.15,108.7,108.84333333333333
pingpong,Enc,2,1048576,Mbytes/sec,110.21,110.54,110.21,110.32
pingpong,Enc,2,2097152,Mbytes/sec,110.97,111.23,110.98,111.06
pingpong,Enc,2,4194304,Mbytes/sec,111.2,111.39,111.24,111.27666666666667
pingpong,Unenc,2,0,Mbytes/sec,0.0,0.0,0.0,0.0
pingpong,Unenc,2,2,Mbytes/sec,0.06,0.07,0.07,0.06666666666666667
pingpong,Unenc,2,4,Mbytes/sec,0.13,0.13,0.14,0.13333333333333333
pingpong,Unenc,2,8,Mbytes/sec,0.26,0.26,0.28,0.26666666666666666
pingpong,Unenc,2,16,Mbytes/sec,0.51,0.52,0.56,0.53
pingpong,Unenc,2,32,Mbytes/sec,1.02,1.03,1.11,1.0533333333333335
pingpong,Unenc,2,64,Mbytes/sec,1.99,2.0,2.16,2.05
pingpong,Unenc,2,128,Mbytes/sec,3.74,3.78,4.08,3.8666666666666667
pingpong,Unenc,2,256,Mbytes/sec,6.61,6.63,7.15,6.796666666666667
pingpong,Unenc,2,512,Mbytes/sec,11.22,11.25,11.99,11.486666666666666
pingpong,Unenc,2,1024,Mbytes/sec,17.31,17.29,18.26,17.62
pingpong,Unenc,2,2048,Mbytes/sec,23.62,23.64,24.46,23.906666666666666
pingpong,Unenc,2,4096,Mbytes/sec,43.57,43.57,45.1,44.08
pingpong,Unenc,2,8192,Mbytes/sec,62.34,62.28,64.38,63.0
pingpong,Unenc,2,16384,Mbytes/sec,79.29,79.27,81.37,79.97666666666667
pingpong,Unenc,2,32768,Mbytes/sec,93.94,93.98,95.55,94.49
pingpong,Unenc,2,65536,Mbytes/sec,94.45,94.33,95.12,94.63333333333334
pingpong,Unenc,2,131072,Mbytes/sec,104.8,104.72,105.33,104.95
pingpong,Unenc,2,262144,Mbytes/sec,110.49,110.44,110.92,110.61666666666666
pingpong,Unenc,2,524288,Mbytes/sec,113.97,113.9,114.17,114.01333333333334
pingpong,Unenc,2,1048576,Mbytes/sec,115.6,115.6,115.73,115.64333333333333
pingpong,Unenc,2,2097152,Mbytes/sec,116.57,116.57,116.64,116.59333333333333
pingpong,Unenc,2,4194304,Mbytes/sec,117.02,117.03,117.07,117.03999999999999
