benchmark,mode,processes,bytes,metric,run1,run2,run3,avg_of_3runs
scatterv,Enc,2,0,t_avg[usec],33.5,32.69,34.36,33.516666666666666
scatterv,Enc,2,2,t_avg[usec],34.58,32.65,34.13,33.78666666666667
scatterv,Enc,2,4,t_avg[usec],34.4,32.08,34.33,33.60333333333333
scatterv,Enc,2,8,t_avg[usec],34.82,32.27,34.35,33.81333333333333
scatterv,Enc,2,16,t_avg[usec],36.05,32.23,35.59,34.623333333333335
scatterv,Enc,2,32,t_avg[usec],36.66,32.39,36.04,35.03
scatterv,Enc,2,64,t_avg[usec],37.77,33.41,37.89,36.35666666666667
scatterv,Enc,2,128,t_avg[usec],39.48,35.32,39.76,38.18666666666667
scatterv,Enc,2,256,t_avg[usec],48.3,43.15,47.95,46.46666666666667
scatterv,Enc,2,512,t_avg[usec],51.89,48.2,51.91,50.666666666666664
scatterv,Enc,2,1024,t_avg[usec],59.13,55.4,59.11,57.88
scatterv,Enc,2,2048,t_avg[usec],73.52,69.64,73.59,72.25
scatterv,Enc,2,4096,t_avg[usec],78.72,74.58,78.78,77.36
scatterv,Enc,2,8192,t_avg[usec],99.74,95.15,100.07,98.32
scatterv,Enc,2,16384,t_avg[usec],143.74,136.94,143.69,141.45666666666668
scatterv,Enc,2,32768,t_avg[usec],225.18,220.06,225.22,223.48666666666668
scatterv,Enc,2,65536,t_avg[usec],447.95,438.63,448.02,444.8666666666667
scatterv,Enc,2,131072,t_avg[usec],777.39,773.52,778.01,776.3066666666666
scatterv,Enc,2,262144,t_avg[usec],1957.78,1938.88,1956.29,1950.9833333333333
scatterv,Enc,2,524288,t_avg[usec],4192.52,4172.57,4186.84,4183.9766666666665
scatterv,Enc,2,1048576,t_avg[usec],8962.74,8944.6,8957.78,8955.04
scatterv,Enc,2,2097152,t_avg[usec],18504.48,18647.02,18501.83,18551.11
scatterv,Enc,2,4194304,t_avg[usec],38243.04,38241.33,38238.12,38240.83
scatterv,Enc,4,0,t_avg[usec],45.5,36.66,34.06,38.74
scatterv,Enc,4,2,t_avg[usec],46.53,39.57,35.98,40.693333333333335
scatterv,Enc,4,4,t_avg[usec],46.59,39.7,35.63,40.64
scatterv,Enc,4,8,t_avg[usec],46.87,39.8,36.08,40.916666666666664
scatterv,Enc,4,16,t_avg[usec],47.29,39.84,37.11,41.413333333333334
scatterv,Enc,4,32,t_avg[usec],47.56,39.97,37.43,41.653333333333336
scatterv,Enc,4,64,t_avg[usec],48.94,41.18,40.36,43.49333333333333
scatterv,Enc,4,128,t_avg[usec],50.21,42.95,42.22,45.126666666666665
scatterv,Enc,4,256,t_avg[usec],55.53,48.23,47.35,50.37
scatterv,Enc,4,512,t_avg[usec],60.96,58.01,52.79,57.25333333333333
scatterv,Enc,4,1024,t_avg[usec],74.67,75.35,76.95,75.65666666666667
scatterv,Enc,4,2048,t_avg[usec],112.51,112.94,113.89,113.11333333333333
scatterv,Enc,4,4096,t_avg[usec],134.86,136.62,135.89,135.79
scatterv,Enc,4,8192,t_avg[usec],195.01,195.58,195.88,195.49
scatterv,Enc,4,16384,t_avg[usec],339.58,332.8,330.13,334.17
