These are breakdowns
rank is 5 host-name is poweredge-r650-8 send time is 0.000020s
rank is 5 host-name is poweredge-r650-8 recv time is 0.000000s
rank is 5 host-name is poweredge-r650-8 isend time is 0.006062s
rank is 5 host-name is poweredge-r650-8 irecv time is 0.000556s
rank is 5 host-name is poweredge-r650-8 wait time is 0.065227s
rank is 5 host-name is poweredge-r650-8 waitall time is 0.527931s
rank is 5 host-name is poweredge-r650-8 bcast time is 0.000000s
rank is 5 host-name is poweredge-r650-8 alltoall time is 0.000000s
rank is 5 host-name is poweredge-r650-8 alltoallv time is 0.000000s
rank is 5 host-name is poweredge-r650-8 reduce time is 0.000046s
rank is 5 host-name is poweredge-r650-8 allreduce time is 0.360901s
rank is 5 host-name is poweredge-r650-8 all comm time is 0.960743s

rank is 5 host-name is poweredge-r650-8 send enc time is 0.000021s
rank is 5 host-name is poweredge-r650-8 recv dec time is 0.000000s
rank is 5 host-name is poweredge-r650-8 isend enc time is 0.000021s
rank is 5 host-name is poweredge-r650-8 irecv dec time is 0.015003s
rank is 5 host-name is poweredge-r650-8 bcast enc time is 0.000000s
rank is 5 host-name is poweredge-r650-8 bcast dec time is 0.000000s
rank is 5 host-name is poweredge-r650-8 alltoall enc time is 0.000000s
rank is 5 host-name is poweredge-r650-8 alltoall dec time is 0.000000s
rank is 5 host-name is poweredge-r650-8 allgather enc time is 0.000000s
rank is 5 host-name is poweredge-r650-8 allgather dec time is 0.000000s
rank is 5 host-name is poweredge-r650-8 alltoallv enc time is 0.000000s
rank is 5 host-name is poweredge-r650-8 alltoallv dec time is 0.000000s
rank is 5 host-name is poweredge-r650-8 reduce enc time is 0.000000s
rank is 5 host-name is poweredge-r650-8 reduce dec time is 0.000000s
rank is 5 host-name is poweredge-r650-8 allreduce enc time is 0.000000s
rank is 5 host-name is poweredge-r650-8 allreduce dec time is 0.000000s
rank is 5 host-name is poweredge-r650-8 all enc time is 0.043013s
rank is 5 host-name is poweredge-r650-8 all dec time is 0.015003s
rank is 5 host-name is poweredge-r650-8 key distribution time is 0.000000s
rank is 5 host-name is poweredge-r650-8 Init crypt time is 0.000000s

rank is 5 host-name is poweredge-r650-8 waitall avr time is 0.001772s


MY_HOSTNAME is poweredge-r650-8
These are breakdowns
rank is 4 host-name is poweredge-r650-8 send time is 0.000019s
MY_HOSTNAME is poweredge-r650-9
These are breakdowns
rank is 6 host-name is poweredge-r650-9 send time is 0.000014s
rank is 6 host-name is poweredge-r650-9 recv time is 0.000000s
rank is 6 host-name is poweredge-r650-9 isend time is 0.006322s
rank is 6 host-name is poweredge-r650-9 irecv time is 0.000462s
rank is 6 host-name is poweredge-r650-9 wait time is 0.035191s
rank is 6 host-name is poweredge-r650-9 waitall time is 0.559829s
rank is 6 host-name is poweredge-r650-9 bcast time is 0.000000s
rank is 6 host-name is poweredge-r650-9 alltoall time is 0.000000s
rank is 6 host-name is poweredge-r650-9 alltoallv time is 0.000000s
rank is 6 host-name is poweredge-r650-9 reduce time is 0.000032s
rank is 6 host-name is poweredge-r650-9 allreduce time is 0.385439s
rank is 6 host-name is poweredge-r650-9 all comm time is 0.987289s

rank is 6 host-name is poweredge-r650-9 send enc time is 0.000013s
rank is 6 host-name is poweredge-r650-9 recv dec time is 0.000000s
rank is 6 host-name is poweredge-r650-9 isend enc time is 0.000013s
rank is 6 host-name is poweredge-r650-9 irecv dec time is 0.014513s
rank is 6 host-name is poweredge-r650-9 bcast enc time is 0.000000s
rank is 6 host-name is poweredge-r650-9 bcast dec time is 0.000000s
rank is 6 host-name is poweredge-r650-9 alltoall enc time is 0.000000s
rank is 6 host-name is poweredge-r650-9 alltoall dec time is 0.000000s
rank is 6 host-name is poweredge-r650-9 allgather enc time is 0.000000s
rank is 6 host-name is poweredge-r650-9 allgather dec time is 0.000000s
rank is 6 host-name is poweredge-r650-9 alltoallv enc time is 0.000000s
rank is 6 host-name is poweredge-r650-9 alltoallv dec time is 0.000000s
rank is 6 host-name is poweredge-r650-9 reduce enc time is 0.000000s
