benchmark,mode,processes,bytes,metric,run1,run2,run3,avg_of_3runs
allreduce,Enc,2,0,t_avg[usec],35.23,35.17,33.21,34.53666666666667
allreduce,Enc,2,4,t_avg[usec],35.59,35.16,33.27,34.67333333333333
allreduce,Enc,2,8,t_avg[usec],35.7,35.18,33.38,34.75333333333334
allreduce,Enc,2,16,t_avg[usec],36.08,35.92,33.88,35.29333333333334
allreduce,Enc,2,32,t_avg[usec],36.47,36.22,34.16,35.61666666666667
allreduce,Enc,2,64,t_avg[usec],37.68,37.38,35.33,36.79666666666667
allreduce,Enc,2,128,t_avg[usec],39.23,38.9,36.81,38.31333333333333
allreduce,Enc,2,256,t_avg[usec],43.98,43.56,41.57,43.03666666666667
allreduce,Enc,2,512,t_avg[usec],51.37,50.94,48.76,50.35666666666666
allreduce,Enc,2,1024,t_avg[usec],64.7,64.18,61.88,63.58666666666667
allreduce,Enc,2,2048,t_avg[usec],94.65,93.11,94.55,94.10333333333334
allreduce,Enc,2,4096,t_avg[usec],103.53,102.0,100.55,102.02666666666667
allreduce,Enc,2,8192,t_avg[usec],143.04,142.22,138.67,141.31
allreduce,Enc,2,16384,t_avg[usec],223.56,223.22,218.36,221.71333333333334
allreduce,Enc,2,32768,t_avg[usec],375.1,374.7,369.89,373.23
allreduce,Enc,2,65536,t_avg[usec],743.01,744.59,739.78,742.46
allreduce,Enc,2,131072,t_avg[usec],1419.5,1425.35,1412.07,1418.9733333333334
allreduce,Enc,2,262144,t_avg[usec],2727.86,2730.53,2698.49,2718.96
allreduce,Enc,2,524288,t_avg[usec],5408.32,5361.89,5311.92,5360.71
allreduce,Enc,2,1048576,t_avg[usec],10654.65,10643.6,10540.62,10612.956666666667
allreduce,Enc,2,2097152,t_avg[usec],21236.64,21382.31,21030.76,21216.57
allreduce,Enc,2,4194304,t_avg[usec],41989.33,41926.06,41624.83,41846.74
allreduce,Enc,4,0,t_avg[usec],61.28,59.5,57.84,59.54
allreduce,Enc,4,4,t_avg[usec],61.19,59.06,58.6,59.61666666666667
allreduce,Enc,4,8,t_avg[usec],61.58,60.34,57.61,59.843333333333334
allreduce,Enc,4,16,t_avg[usec],62.93,60.56,59.35,60.946666666666665
allreduce,Enc,4,32,t_avg[usec],63.4,60.38,59.55,61.11
allreduce,Enc,4,64,t_avg[usec],65.77,65.16,62.24,64.39
allreduce,Enc,4,128,t_avg[usec],67.82,68.09,65.76,67.22333333333333
allreduce,Enc,4,256,t_avg[usec],75.52,77.48,75.41,76.13666666666667
allreduce,Enc,4,512,t_avg[usec],87.31,90.95,88.22,88.82666666666667
allreduce,Enc,4,1024,t_avg[usec],109.4,114.86,105.82,110.02666666666667
allreduce,Enc,4,2048,t_avg[usec],147.14,146.38,139.54,144.35333333333332
allreduce,Enc,4,4096,t_avg[usec],162.22,161.76,155.36,159.78
allreduce,Enc,4,8192,t_avg[usec],226.8,226.28,219.44,224.17333333333335
allreduce,Enc,4,16384,t_avg[usec],345.86,346.56,339.28,343.9
