benchmark,mode,processes,bytes,metric,run1,run2,run3,avg_of_3runs
pingping,Enc,2,0,t[usec],35.33,32.69,36.41,34.809999999999995
pingping,Enc,2,2,t[usec],35.04,32.75,35.25,34.346666666666664
pingping,Enc,2,4,t[usec],34.9,32.74,35.03,34.223333333333336
pingping,Enc,2,8,t[usec],34.75,32.82,35.29,34.28666666666667
pingping,Enc,2,16,t[usec],35.71,33.35,35.76,34.94
pingping,Enc,2,32,t[usec],36.09,33.62,36.14,35.28333333333333
pingping,Enc,2,64,t[usec],37.22,34.87,37.37,36.486666666666665
pingping,Enc,2,128,t[usec],38.85,36.28,38.86,37.99666666666667
pingping,Enc,2,256,t[usec],43.19,41.0,43.67,42.62
pingping,Enc,2,512,t[usec],50.78,48.23,50.79,49.93333333333333
pingping,Enc,2,1024,t[usec],64.06,61.3,64.11,63.156666666666666
pingping,Enc,2,2048,t[usec],93.29,90.75,93.21,92.41666666666667
pingping,Enc,2,4096,t[usec],101.05,98.18,101.29,100.17333333333333
pingping,Enc,2,8192,t[usec],139.97,136.56,140.21,138.91333333333333
pingping,Enc,2,16384,t[usec],217.84,213.19,218.06,216.36333333333334
pingping,Enc,2,32768,t[usec],366.45,362.37,366.16,364.99333333333334
pingping,Enc,2,65536,t[usec],729.1,715.5,725.37,723.3233333333334
pingping,Enc,2,131072,t[usec],1396.67,1396.87,1395.61,1396.3833333333332
pingping,Enc,2,262144,t[usec],2671.78,2646.03,2670.43,2662.746666666667
pingping,Enc,2,524288,t[usec],5244.49,5233.94,5235.06,5237.83
pingping,Enc,2,1048576,t[usec],10319.45,10385.2,10330.08,10344.91
pingping,Enc,2,2097152,t[usec],20826.01,20711.1,20578.9,20705.336666666666
pingping,Enc,2,4194304,t[usec],40634.2,40973.4,40618.3,40741.96666666667
pingping,Unenc,2,0,t[usec],30.25,33.6,31.28,31.71
pingping,Unenc,2,2,t[usec],30.39,33.27,30.47,31.37666666666667
pingping,Unenc,2,4,t[usec],30.33,32.93,30.49,31.25
pingping,Unenc,2,8,t[usec],30.46,34.53,30.48,31.823333333333334
pingping,Unenc,2,16,t[usec],30.63,33.99,30.73,31.783333333333335
pingping,Unenc,2,32,t[usec],30.79,34.88,30.85,32.17333333333333
pingping,Unenc,2,64,t[usec],31.82,36.01,31.83,33.22
pingping,Unenc,2,128,t[usec],33.8,34.96,33.62,34.126666666666665
pingping,Unenc,2,256,t[usec],38.3,39.96,38.3,38.85333333333333
pingping,Unenc,2,512,t[usec],45.17,45.07,45.0,45.08
pingping,Unenc,2,1024,t[usec],58.71,58.99,58.8,58.833333333333336
pingping,Unenc,2,2048,t[usec],87.26,87.15,87.24,87.21666666666667
pingping,Unenc,2,4096,t[usec],95.19,94.91,95.05,95.05
pingping,Unenc,2,8192,t[usec],132.91,132.04,132.83,132.59333333333333
pingping,Unenc,2,16384,t[usec],208.45,208.14,208.06,208.21666666666667
pingping,Unenc,2,32768,t[usec],350.31,349.99,349.79,350.03000000000003
pingping,Unenc,2,65536,t[usec],702.77,712.88,703.36,706.3366666666667
pingping,Unenc,2,131072,t[usec],1333.01,1333.83,1333.27,1333.37
pingping,Unenc,2,262144,t[usec],2540.84,2540.96,2538.82,2540.206666666667
pingping,Unenc,2,524288,t[usec],4922.91,4918.88,4917.65,4919.8133333333335
pingping,Unenc,2,1048576,t[usec],9675.87,9672.65,9682.48,9677.0
pingping,Unenc,2,2097152,t[usec],19189.25,19184.46,19194.34,19189.35
pingping,Unenc,2,4194304,t[usec],38204.41,38205.39,38223.2,38211.0
