benchmark,mode,processes,bytes,metric,run1,run2,run3,avg_of_3runs
reduce,Enc,2,0,t_avg[usec],31.85,31.89,39.68,34.473333333333336
reduce,Enc,2,4,t_avg[usec],32.86,32.15,39.95,34.986666666666665
reduce,Enc,2,8,t_avg[usec],32.64,32.0,39.8,34.81333333333333
reduce,Enc,2,16,t_avg[usec],33.06,33.8,40.23,35.696666666666665
reduce,Enc,2,32,t_avg[usec],33.84,33.77,40.47,36.02666666666667
reduce,Enc,2,64,t_avg[usec],34.75,34.76,40.91,36.806666666666665
reduce,Enc,2,128,t_avg[usec],36.57,36.51,41.99,38.35666666666667
reduce,Enc,2,256,t_avg[usec],44.93,44.58,44.65,44.72
reduce,Enc,2,512,t_avg[usec],48.51,48.08,47.87,48.15333333333333
reduce,Enc,2,1024,t_avg[usec],55.16,54.75,54.56,54.82333333333333
reduce,Enc,2,2048,t_avg[usec],69.26,69.5,69.3,69.35333333333334
reduce,Enc,2,4096,t_avg[usec],73.97,74.03,74.0,74.0
reduce,Enc,2,8192,t_avg[usec],95.32,95.04,94.86,95.07333333333334
reduce,Enc,2,16384,t_avg[usec],135.09,134.82,134.05,134.65333333333334
reduce,Enc,2,32768,t_avg[usec],207.08,207.41,206.68,207.05666666666667
reduce,Enc,2,65536,t_avg[usec],425.2,425.69,424.05,424.98
reduce,Enc,2,131072,t_avg[usec],734.17,734.66,734.25,734.36
reduce,Enc,2,262144,t_avg[usec],1876.3,1882.78,1875.68,1878.2533333333333
reduce,Enc,2,524288,t_avg[usec],4014.67,4016.54,4013.72,4014.9766666666665
reduce,Enc,2,1048576,t_avg[usec],8628.75,8629.83,8625.58,8628.053333333333
reduce,Enc,2,2097152,t_avg[usec],17835.92,17844.11,17847.28,17842.436666666665
reduce,Enc,2,4194304,t_avg[usec],36831.67,36809.71,36829.02,36823.46666666667
reduce,Enc,4,0,t_avg[usec],25.39,25.44,21.73,24.186666666666667
reduce,Enc,4,4,t_avg[usec],25.36,25.56,21.55,24.156666666666666
reduce,Enc,4,8,t_avg[usec],25.42,25.75,21.62,24.263333333333335
reduce,Enc,4,16,t_avg[usec],26.31,26.13,21.86,24.766666666666666
reduce,Enc,4,32,t_avg[usec],26.43,26.3,22.07,24.933333333333334
reduce,Enc,4,64,t_avg[usec],26.53,27.0,22.6,25.37666666666667
reduce,Enc,4,128,t_avg[usec],26.8,27.94,23.61,26.116666666666667
reduce,Enc,4,256,t_avg[usec],26.56,29.32,25.84,27.24
reduce,Enc,4,512,t_avg[usec],28.75,30.6,28.14,29.163333333333334
reduce,Enc,4,1024,t_avg[usec],34.06,33.7,33.78,33.84666666666667
reduce,Enc,4,2048,t_avg[usec],44.52,44.63,44.54,44.56333333333333
reduce,Enc,4,4096,t_avg[usec],56.2,56.16,55.75,56.03666666666667
reduce,Enc,4,8192,t_avg[usec],85.16,85.15,85.06,85.12333333333333
reduce,Enc,4,16384,t_avg[usec],142.88,142.81,142.86,142.85
reduce,Enc,4,32768,t_avg[usec],257.52,257.56,257.52,257.5333333333333
reduce,Enc,4,65536,t_avg[usec],1126.56,1121.43,1128.28,1125.4233333333334
reduce,Enc,4,131072,t_avg[usec],2004.86,2004.96,2004.52,2004.78
reduce,Enc,4,262144,t_avg[usec],4573.14,4578.4,4574.89,4575.4766666666665
reduce,Enc,4,524288,t_avg[usec],9498.78,9501.23,9504.52,9501.51
reduce,Enc,4,1048576,t_avg[usec],19709.8,19684.88,19755.71,19716.796666666665
reduce,Enc,4,2097152,t_avg[usec],40316.07,40417.32,40389.9,40374.43
reduce,Enc,4,4194304,t_avg[usec],82355.97,82324.49,82390.56,82357.00666666667
reduce,Enc,8,0,t_avg[usec],13.85,14.36,13.58,13.93
reduce,Enc,8,4,t_avg[usec],13.81,14.57,13.81,14.063333333333334
reduce,Enc,8,8,t_avg[usec],14.28,15.11,14.53,14.639999999999999
reduce,Enc,8,16,t_avg[usec],14.31,15.2,14.45,14.653333333333332
reduce,Enc,8,32,t_avg[usec],14.38,15.3,14.48,14.72
reduce,Enc,8,64,t_avg[usec],14.52,15.32,14.52,14.786666666666667
reduce,Enc,8,128,t_avg[usec],14.63,15.64,15.04,15.103333333333333
