benchmark,mode,processes,bytes,metric,run1,run2,run3,avg_of_3runs
allgather,Enc,2,0,t_avg[usec],154.94,158.75,160.67,158.12
allgather,Enc,2,2,t_avg[usec],151.51,156.97,159.13,155.87
allgather,Enc,2,4,t_avg[usec],151.72,157.0,159.22,155.98
allgather,Enc,2,8,t_avg[usec],153.01,159.9,159.87,157.59333333333333
allgather,Enc,2,16,t_avg[usec],152.32,158.25,160.21,156.92666666666668
allgather,Enc,2,32,t_avg[usec],153.05,159.02,159.51,157.19333333333333
allgather,Enc,2,64,t_avg[usec],153.14,159.74,161.53,158.13666666666666
allgather,Enc,2,128,t_avg[usec],154.16,156.16,160.84,157.05333333333334
allgather,Enc,2,256,t_avg[usec],155.91,160.14,161.24,159.09666666666666
allgather,Enc,2,512,t_avg[usec],171.98,170.95,173.89,172.2733333333333
allgather,Enc,2,1024,t_avg[usec],175.19,181.33,178.13,178.21666666666667
allgather,Enc,2,2048,t_avg[usec],219.29,211.74,213.88,214.97
allgather,Enc,2,4096,t_avg[usec],229.48,226.96,227.4,227.94666666666666
allgather,Enc,2,8192,t_avg[usec],238.53,235.89,240.08,238.16666666666666
allgather,Enc,2,16384,t_avg[usec],334.6,332.21,333.01,333.2733333333333
allgather,Enc,2,32768,t_avg[usec],475.2,470.58,471.66,472.48
allgather,Enc,2,65536,t_avg[usec],971.91,968.53,970.29,970.2433333333333
allgather,Enc,2,131072,t_avg[usec],1648.26,1646.25,1649.74,1648.0833333333333
allgather,Enc,2,262144,t_avg[usec],2952.34,2956.57,2958.3,2955.7366666666667
allgather,Enc,2,524288,t_avg[usec],5543.42,5566.45,5572.96,5560.943333333334
allgather,Enc,2,1048576,t_avg[usec],10712.75,10758.45,10759.05,10743.416666666666
allgather,Enc,2,2097152,t_avg[usec],21154.34,21192.53,21197.93,21181.6
allgather,Enc,2,4194304,t_avg[usec],42266.61,42443.35,42495.02,42401.659999999996
allgather,Enc,4,0,t_avg[usec],300.43,292.35,294.77,295.85
allgather,Enc,4,2,t_avg[usec],295.21,287.6,296.89,293.23333333333335
allgather,Enc,4,4,t_avg[usec],283.99,277.96,283.62,281.8566666666667
allgather,Enc,4,8,t_avg[usec],302.78,297.07,298.97,299.6066666666667
allgather,Enc,4,16,t_avg[usec],285.14,277.71,273.21,278.68666666666667
allgather,Enc,4,32,t_avg[usec],305.19,295.33,297.78,299.43333333333334
allgather,Enc,4,64,t_avg[usec],297.2,285.56,290.77,291.1766666666667
allgather,Enc,4,128,t_avg[usec],327.91,310.12,324.29,320.77333333333337
allgather,Enc,4,256,t_avg[usec],344.45,331.69,345.92,340.68666666666667
allgather,Enc,4,512,t_avg[usec],333.95,319.43,334.92,329.43333333333334
allgather,Enc,4,1024,t_avg[usec],341.29,354.49,342.87,346.2166666666667
allgather,Enc,4,2048,t_avg[usec],404.94,393.45,405.41,401.26666666666665
allgather,Enc,4,4096,t_avg[usec],412.62,422.86,410.56,415.3466666666667
allgather,Enc,4,8192,t_avg[usec],474.24,457.24,467.5,466.32666666666665
allgather,Enc,4,16384,t_avg[usec],582.39,582.85,588.61,584.6166666666667
allgather,Enc,4,32768,t_avg[usec],1364.3,1369.12,1369.76,1367.7266666666667
allgather,Enc,4,65536,t_avg[usec],2689.21,2612.9,2705.42,2669.1766666666667
allgather,Enc,4,131072,t_avg[usec],4104.35,4091.14,4115.46,4103.65
allgather,Enc,4,262144,t_avg[usec],8201.14,8172.57,8174.04,8182.583333333333
allgather,Enc,4,524288,t_avg[usec],16097.86,16002.95,16036.13,16045.646666666667
allgather,Enc,4,1048576,t_avg[usec],31974.92,31963.6,31965.02,31967.846666666665
allgather,Enc,4,2097152,t_avg[usec],64940.71,64888.1,64908.47,64912.426666666666
allgather,Enc,4,4194304,t_avg[usec],134134.93,134398.73,134321.43,134285.03
allgather,Enc,8,0,t_avg[usec],502.96,494.56,486.96,494.82666666666665
allgather,Enc,8,2,t_avg[usec],491.39,482.93,486.44,486.92
allgather,Enc,8,4,t_avg[usec],493.93,487.63,485.44,489.0
allgather,Enc,8,8,t_avg[usec],544.82,545.44,536.38,542.2133333333334
allgather,Enc,8,16,t_avg[usec],569.88,547.72,549.51,555.7033333333334
allgather,Enc,8,32,t_avg[usec],550.87,547.7,537.83,545.4666666666667
allgather,Enc,8,64,t_avg[usec],558.81,550.85,546.59,552.0833333333334
allgather,Enc,8,128,t_avg[usec],577.36,555.44,550.17,560.99
allgather,Enc,8,256,t_avg[usec],558.9,554.56,562.26,558.5733333333333
allgather,Enc,8,512,t_avg[usec],598.34,589.44,588.86,592.2133333333334
allgather,Enc,8,1024,t_avg[usec],612.48,618.66,600.11,610.4166666666666
allgather,Enc,8,2048,t_avg[usec],681.21,678.8,669.52,676.51
allgather,Enc,8,4096,t_avg[usec],799.4,790.46,813.51,801.1233333333333
allgather,Enc,8,8192,t_avg[usec],740.73,737.8,742.78,740.4366666666666
allgather,Enc,8,16384,t_avg[usec],1257.93,1243.34,1252.58,1251.2833333333333
allgather,Enc,8,32768,t_avg[usec],2563.27,2555.25,2555.41,2557.9766666666665
allgather,Enc,8,65536,t_avg[usec],4386.1,4403.03,4397.71,4395.613333333334
allgather,Enc,8,131072,t_avg[usec],7830.74,7838.16,7839.08,7835.993333333333
allgather,Enc,8,262144,t_avg[usec],15035.08,15056.23,15025.06,15038.789999999999
allgather,Enc,8,524288,t_avg[usec],30026.84,30007.12,32064.09,30699.35
allgather,Enc,8,1048576,t_avg[usec],63533.25,63090.28,65227.98,63950.503333333334
allgather,Enc,8,2097152,t_avg[usec],143046.68,154387.25,145284.55,147572.82666666666
allgather,Enc,8,4194304,t_avg[usec],320459.77,314800.59,318557.39,317939.25
