benchmark,mode,processes,bytes,metric,run1,run2,run3,avg_of_3runs
allgatherv,Enc,2,0,t_avg[usec],155.49,160.83,155.72,157.34666666666666
allgatherv,Enc,2,2,t_avg[usec],151.82,156.65,155.31,154.59333333333333
allgatherv,Enc,2,4,t_avg[usec],152.05,156.43,152.21,153.56333333333333
allgatherv,Enc,2,8,t_avg[usec],153.07,159.33,154.28,155.56
allgatherv,Enc,2,16,t_avg[usec],152.25,159.82,153.09,155.05333333333334
allgatherv,Enc,2,32,t_avg[usec],154.21,160.43,153.98,156.20666666666668
allgatherv,Enc,2,64,t_avg[usec],154.21,159.34,154.21,155.92000000000002
allgatherv,Enc,2,128,t_avg[usec],153.17,159.14,154.99,155.76666666666665
allgatherv,Enc,2,256,t_avg[usec],157.73,161.71,156.85,158.76333333333332
allgatherv,Enc,2,512,t_avg[usec],172.24,172.19,174.53,172.98666666666668
allgatherv,Enc,2,1024,t_avg[usec],180.46,176.96,179.43,178.95000000000002
allgatherv,Enc,2,2048,t_avg[usec],217.93,210.14,216.83,214.96666666666667
allgatherv,Enc,2,4096,t_avg[usec],230.55,223.14,232.52,228.73666666666668
allgatherv,Enc,2,8192,t_avg[usec],241.76,238.77,241.78,240.77
allgatherv,Enc,2,16384,t_avg[usec],333.22,329.98,333.74,332.31333333333333
allgatherv,Enc,2,32768,t_avg[usec],474.95,472.03,472.83,473.27
allgatherv,Enc,2,65536,t_avg[usec],972.34,970.81,975.56,972.9033333333333
allgatherv,Enc,2,131072,t_avg[usec],1653.44,1650.79,1653.59,1652.6066666666666
allgatherv,Enc,2,262144,t_avg[usec],2963.12,2957.86,2960.85,2960.61
allgatherv,Enc,2,524288,t_avg[usec],5576.35,5563.21,5560.59,5566.716666666667
allgatherv,Enc,2,1048576,t_avg[usec],10754.02,10763.91,10780.51,10766.146666666667
allgatherv,Enc,2,2097152,t_avg[usec],21268.39,21234.59,21179.39,21227.456666666665
allgatherv,Enc,2,4194304,t_avg[usec],42492.52,42498.73,42369.39,42453.54666666667
allgatherv,Enc,4,0,t_avg[usec],294.62,294.12,294.88,294.54
allgatherv,Enc,4,2,t_avg[usec],308.77,307.69,302.67,306.37666666666667
allgatherv,Enc,4,4,t_avg[usec],310.54,314.52,315.45,313.50333333333333
allgatherv,Enc,4,8,t_avg[usec],293.69,291.77,292.1,292.52
allgatherv,Enc,4,16,t_avg[usec],292.2,304.03,293.79,296.67333333333335
allgatherv,Enc,4,32,t_avg[usec],318.79,314.55,321.67,318.3366666666667
allgatherv,Enc,4,64,t_avg[usec],323.55,323.4,328.82,325.25666666666666
allgatherv,Enc,4,128,t_avg[usec],320.53,331.63,328.9,327.02
allgatherv,Enc,4,256,t_avg[usec],331.39,333.84,326.2,330.47666666666663
allgatherv,Enc,4,512,t_avg[usec],339.63,338.83,339.58,339.34666666666664
allgatherv,Enc,4,1024,t_avg[usec],364.94,368.19,368.36,367.16333333333336
allgatherv,Enc,4,2048,t_avg[usec],425.81,419.68,425.54,423.6766666666667
allgatherv,Enc,4,4096,t_avg[usec],414.78,431.45,429.89,425.37333333333333
allgatherv,Enc,4,8192,t_avg[usec],490.35,494.46,502.01,495.6066666666667
allgatherv,Enc,4,16384,t_avg[usec],586.59,589.82,588.66,588.3566666666667
allgatherv,Enc,4,32768,t_avg[usec],1375.55,1376.03,1379.45,1377.01
allgatherv,Enc,4,65536,t_avg[usec],2698.4,2687.19,2688.2,2691.2633333333333
allgatherv,Enc,4,131072,t_avg[usec],4395.59,4395.69,4393.14,4394.806666666666
allgatherv,Enc,4,262144,t_avg[usec],8277.81,8264.53,8269.53,8270.623333333333
allgatherv,Enc,4,524288,t_avg[usec],16122.51,16104.73,16089.33,16105.523333333333
allgatherv,Enc,4,1048576,t_avg[usec],32128.68,32118.98,32147.35,32131.67
allgatherv,Enc,4,2097152,t_avg[usec],65028.21,64951.34,64944.28,64974.61
allgatherv,Enc,4,4194304,t_avg[usec],135251.28,135068.0,134611.49,134976.92333333334
allgatherv,Enc,8,0,t_avg[usec],495.03,494.43,493.01,494.15666666666664
allgatherv,Enc,8,2,t_avg[usec],487.27,489.22,484.49,486.99333333333334
allgatherv,Enc,8,4,t_avg[usec],496.72,495.08,483.02,491.6066666666667
allgatherv,Enc,8,8,t_avg[usec],555.51,558.13,552.96,555.5333333333333
allgatherv,Enc,8,16,t_avg[usec],551.87,565.19,566.05,561.0366666666666
allgatherv,Enc,8,32,t_avg[usec],567.77,561.07,552.98,560.6066666666667
allgatherv,Enc,8,64,t_avg[usec],571.8,560.27,573.04,568.37
allgatherv,Enc,8,128,t_avg[usec],587.46,581.94,576.78,582.0600000000001
allgatherv,Enc,8,256,t_avg[usec],586.77,593.78,596.85,592.4666666666667
allgatherv,Enc,8,512,t_avg[usec],621.54,619.47,633.9,624.97
allgatherv,Enc,8,1024,t_avg[usec],650.24,661.99,658.9,657.0433333333333
allgatherv,Enc,8,2048,t_avg[usec],715.54,719.33,724.53,719.8
allgatherv,Enc,8,4096,t_avg[usec],873.88,823.51,864.21,853.8666666666667
allgatherv,Enc,8,8192,t_avg[usec],776.86,762.63,774.45,771.3133333333334
allgatherv,Enc,8,16384,t_avg[usec],1101.08,1107.0,1107.19,1105.09
allgatherv,Enc,8,32768,t_avg[usec],2578.96,2598.09,2586.57,2587.8733333333334
allgatherv,Enc,8,65536,t_avg[usec],4430.68,4433.3,4433.52,4432.5
