benchmark,mode,processes,bytes,metric,run1,run2,run3,avg_of_3runs
allreduce,Enc,2,0,t_avg[usec],153.77,156.51,155.16,155.14666666666668
allreduce,Enc,2,4,t_avg[usec],148.37,147.4,145.26,147.01
allreduce,Enc,2,8,t_avg[usec],155.54,154.86,152.88,154.42666666666668
allreduce,Enc,2,16,t_avg[usec],149.05,147.54,149.47,148.68666666666667
allreduce,Enc,2,32,t_avg[usec],155.09,153.87,155.28,154.74666666666667
allreduce,Enc,2,64,t_avg[usec],165.71,164.51,160.99,163.73666666666668
allreduce,Enc,2,128,t_avg[usec],156.59,154.34,156.96,155.96333333333334
allreduce,Enc,2,256,t_avg[usec],157.93,157.72,155.52,157.05666666666667
allreduce,Enc,2,512,t_avg[usec],172.27,174.51,172.25,173.01
allreduce,Enc,2,1024,t_avg[usec],172.06,175.42,173.74,173.74
allreduce,Enc,2,2048,t_avg[usec],218.42,216.38,210.24,215.01333333333332
allreduce,Enc,2,4096,t_avg[usec],213.24,215.19,209.19,212.54
allreduce,Enc,2,8192,t_avg[usec],245.09,250.32,247.93,247.78
allreduce,Enc,2,16384,t_avg[usec],338.94,345.03,336.95,340.3066666666667
allreduce,Enc,2,32768,t_avg[usec],486.24,487.43,484.94,486.2033333333333
allreduce,Enc,2,65536,t_avg[usec],981.75,978.1,974.39,978.08
allreduce,Enc,2,131072,t_avg[usec],1761.15,1759.8,1766.92,1762.6233333333334
allreduce,Enc,2,262144,t_avg[usec],3605.14,3608.09,3575.94,3596.39
allreduce,Enc,2,524288,t_avg[usec],7189.99,7201.39,7178.32,7189.9
allreduce,Enc,2,1048576,t_avg[usec],14385.95,14417.21,14248.47,14350.543333333333
allreduce,Enc,2,2097152,t_avg[usec],29418.9,29392.61,29250.84,29354.11666666667
allreduce,Enc,2,4194304,t_avg[usec],58263.17,50888.34,50372.7,53174.736666666664
allreduce,Enc,4,0,t_avg[usec],305.46,298.91,303.96,302.77666666666664
allreduce,Enc,4,4,t_avg[usec],312.15,301.26,308.83,307.4133333333333
allreduce,Enc,4,8,t_avg[usec],312.01,304.2,311.66,309.29
allreduce,Enc,4,16,t_avg[usec],316.0,307.88,315.1,312.99333333333334
allreduce,Enc,4,32,t_avg[usec],316.82,306.33,312.69,311.94666666666666
allreduce,Enc,4,64,t_avg[usec],314.32,306.18,310.39,310.2966666666667
allreduce,Enc,4,128,t_avg[usec],318.04,307.92,317.37,314.4433333333333
allreduce,Enc,4,256,t_avg[usec],314.28,312.24,317.81,314.77666666666664
allreduce,Enc,4,512,t_avg[usec],352.78,344.3,349.89,348.99
allreduce,Enc,4,1024,t_avg[usec],379.39,383.28,381.16,381.27666666666664
allreduce,Enc,4,2048,t_avg[usec],406.18,409.16,411.01,408.78333333333336
allreduce,Enc,4,4096,t_avg[usec],434.21,436.43,437.55,436.06333333333333
allreduce,Enc,4,8192,t_avg[usec],522.99,526.84,518.9,522.91
allreduce,Enc,4,16384,t_avg[usec],558.14,562.03,555.75,558.64
allreduce,Enc,4,32768,t_avg[usec],809.92,807.72,803.63,807.09
allreduce,Enc,4,65536,t_avg[usec],1897.58,1896.54,1878.97,1891.03
allreduce,Enc,4,131072,t_avg[usec],3071.17,3070.38,3070.21,3070.5866666666666
allreduce,Enc,4,262144,t_avg[usec],5797.7,5772.2,5790.15,5786.683333333333
allreduce,Enc,4,524288,t_avg[usec],12153.23,12778.71,12600.19,12510.71
allreduce,Enc,4,1048576,t_avg[usec],23366.7,24716.74,24360.85,24148.096666666668
allreduce,Enc,4,2097152,t_avg[usec],55015.71,47339.58,48913.41,50422.9
allreduce,Enc,4,4194304,t_avg[usec],99742.65,98568.4,99333.51,99214.85333333333
allreduce,Enc,8,0,t_avg[usec],509.77,505.36,504.95,506.6933333333333
allreduce,Enc,8,4,t_avg[usec],509.05,506.93,514.65,510.21
allreduce,Enc,8,8,t_avg[usec],534.46,531.68,536.47,534.2033333333334
allreduce,Enc,8,16,t_avg[usec],548.1,550.21,546.13,548.1466666666666
allreduce,Enc,8,32,t_avg[usec],550.73,556.73,551.91,553.1233333333333
allreduce,Enc,8,64,t_avg[usec],586.94,568.57,568.28,574.5966666666667
allreduce,Enc,8,128,t_avg[usec],591.65,605.3,590.13,595.6933333333333
allreduce,Enc,8,256,t_avg[usec],607.49,645.84,622.7,625.3433333333334
allreduce,Enc,8,512,t_avg[usec],685.95,639.23,650.9,658.6933333333334
allreduce,Enc,8,1024,t_avg[usec],666.71,617.19,664.39,649.4300000000001
allreduce,Enc,8,2048,t_avg[usec],760.06,746.7,758.12,754.96
allreduce,Enc,8,4096,t_avg[usec],803.94,822.16,819.77,815.29
allreduce,Enc,8,8192,t_avg[usec],834.93,906.82,862.13,867.96
allreduce,Enc,8,16384,t_avg[usec],1013.61,952.75,957.22,974.5266666666666
allreduce,Enc,8,32768,t_avg[usec],1452.89,1489.88,1456.63,1466.4666666666667
allreduce,Enc,8,65536,t_avg[usec],4122.04,4128.79,4110.39,4120.406666666667
allreduce,Enc,8,131072,t_avg[usec],7332.63,7333.31,7341.84,7335.926666666667
allreduce,Enc,8,262144,t_avg[usec],13610.96,13617.23,13682.71,13636.966666666665
allreduce,Enc,8,524288,t_avg[usec],26486.01,27379.56,26146.79,26670.786666666667
allreduce,Enc,8,1048576,t_avg[usec],59652.31,57937.85,58359.76,58649.973333333335
allreduce,Enc,8,2097152,t_avg[usec],116205.29,110771.71,111733.5,112903.5
allreduce,Enc,8,4194304,t_avg[usec],259053.19,226575.74,259767.98,248465.63666666666
allreduce,Unenc,2,0,t_avg[usec],0.36,0.35,0.35,0.35333333333333333
allreduce,Unenc,2,4,t_avg[usec],113.42,111.91,114.3,113.21
allreduce,Unenc,2,8,t_avg[usec],112.3,112.79,112.86,112.65
allreduce,Unenc,2,16,t_avg[usec],113.1,112.63,112.24,112.65666666666667
allreduce,Unenc,2,32,t_avg[usec],113.56,112.3,112.04,112.63333333333334
allreduce,Unenc,2,64,t_avg[usec],110.46,99.05,110.32,106.61
allreduce,Unenc,2,128,t_avg[usec],111.34,111.09,107.03,109.82000000000001
