benchmark,mode,processes,bytes,metric,run1,run2,run3,avg_of_3runs
alltoall,Enc,2,0,t_avg[usec],182.31,181.13,186.67,183.37
alltoall,Enc,2,2,t_avg[usec],181.67,180.93,183.03,181.87666666666667
alltoall,Enc,2,4,t_avg[usec],180.25,177.5,182.13,179.96
alltoall,Enc,2,8,t_avg[usec],183.94,181.08,185.42,183.48
alltoall,Enc,2,16,t_avg[usec],183.86,182.43,185.74,184.01000000000002
alltoall,Enc,2,32,t_avg[usec],187.0,181.8,186.28,185.02666666666667
alltoall,Enc,2,64,t_avg[usec],182.18,181.04,185.37,182.86333333333334
alltoall,Enc,2,128,t_avg[usec],184.45,180.88,186.22,183.85
alltoall,Enc,2,256,t_avg[usec],191.17,190.98,190.59,190.91333333333333
alltoall,Enc,2,512,t_avg[usec],193.68,194.14,194.74,194.18666666666667
alltoall,Enc,2,1024,t_avg[usec],209.08,208.82,209.02,208.97333333333333
alltoall,Enc,2,2048,t_avg[usec],242.02,240.84,240.01,240.95666666666668
alltoall,Enc,2,4096,t_avg[usec],247.63,248.54,246.78,247.65
alltoall,Enc,2,8192,t_avg[usec],267.22,267.25,266.92,267.13
alltoall,Enc,2,16384,t_avg[usec],372.47,373.89,372.75,373.0366666666667
alltoall,Enc,2,32768,t_avg[usec],507.48,507.74,509.8,508.34000000000003
alltoall,Enc,2,65536,t_avg[usec],1018.6,1019.55,1019.52,1019.2233333333334
alltoall,Enc,2,131072,t_avg[usec],1739.04,1748.25,1737.71,1741.6666666666667
alltoall,Enc,2,262144,t_avg[usec],3063.65,3066.66,3070.11,3066.806666666667
alltoall,Enc,2,524288,t_avg[usec],5753.52,5753.71,5748.82,5752.016666666666
alltoall,Enc,2,1048576,t_avg[usec],11063.7,11085.3,11063.47,11070.823333333334
alltoall,Enc,2,2097152,t_avg[usec],21975.33,21922.76,21979.86,21959.316666666666
alltoall,Enc,2,4194304,t_avg[usec],44052.05,44053.41,43885.22,43996.89333333333
alltoall,Enc,4,0,t_avg[usec],353.61,362.2,362.33,359.38
alltoall,Enc,4,2,t_avg[usec],350.73,356.47,359.2,355.4666666666667
alltoall,Enc,4,4,t_avg[usec],353.97,362.5,363.86,360.11
alltoall,Enc,4,8,t_avg[usec],371.74,373.52,375.88,373.7133333333333
