benchmark,mode,processes,bytes,metric,run1,run2,run3,avg_of_3runs
alltoallv,Enc,2,0,t_avg[usec],202.42,206.83,205.08,204.77666666666667
alltoallv,Enc,2,2,t_avg[usec],202.75,205.32,202.7,203.59
alltoallv,Enc,2,4,t_avg[usec],199.77,206.84,199.94,202.18333333333334
alltoallv,Enc,2,8,t_avg[usec],205.67,205.85,205.02,205.51333333333332
alltoallv,Enc,2,16,t_avg[usec],205.87,207.6,206.21,206.56
alltoallv,Enc,2,32,t_avg[usec],204.84,206.26,205.96,205.68666666666667
alltoallv,Enc,2,64,t_avg[usec],204.42,206.06,206.83,205.77
alltoallv,Enc,2,128,t_avg[usec],204.76,205.96,206.2,205.64
alltoallv,Enc,2,256,t_avg[usec],213.73,212.57,215.01,213.76999999999998
alltoallv,Enc,2,512,t_avg[usec],219.17,215.73,216.68,217.19333333333333
alltoallv,Enc,2,1024,t_avg[usec],233.9,231.25,235.27,233.47333333333333
alltoallv,Enc,2,2048,t_avg[usec],271.82,259.03,264.23,265.02666666666664
alltoallv,Enc,2,4096,t_avg[usec],279.36,268.26,271.15,272.92333333333335
alltoallv,Enc,2,8192,t_avg[usec],268.48,271.19,269.94,269.87
alltoallv,Enc,2,16384,t_avg[usec],397.73,395.57,399.45,397.5833333333333
alltoallv,Enc,2,32768,t_avg[usec],510.2,507.98,507.79,508.6566666666667
alltoallv,Enc,2,65536,t_avg[usec],1023.09,1019.3,1024.28,1022.2233333333334
alltoallv,Enc,2,131072,t_avg[usec],1756.92,1755.67,1775.26,1762.6166666666668
alltoallv,Enc,2,262144,t_avg[usec],3074.66,3073.09,3078.81,3075.52
alltoallv,Enc,2,524288,t_avg[usec],5753.82,5750.04,5757.65,5753.836666666666
alltoallv,Enc,2,1048576,t_avg[usec],11079.22,11076.2,11080.33,11078.583333333334
alltoallv,Enc,2,2097152,t_avg[usec],21903.23,21894.74,21894.07,21897.346666666668
alltoallv,Enc,2,4194304,t_avg[usec],43982.8,44005.51,44171.76,44053.35666666667
alltoallv,Enc,4,0,t_avg[usec],361.83,361.48,359.17,360.82666666666665
alltoallv,Enc,4,2,t_avg[usec],362.63,358.78,360.73,360.7133333333333
alltoallv,Enc,4,4,t_avg[usec],366.95,362.25,359.36,362.85333333333335
alltoallv,Enc,4,8,t_avg[usec],378.4,372.99,374.73,375.37333333333333
