benchmark,mode,processes,bytes,metric,run1,run2,run3,avg_of_3runs
bcast,Enc,2,0,t_avg[usec],148.48,145.73,146.15,146.78666666666666
bcast,Enc,2,2,t_avg[usec],147.4,147.86,146.54,147.26666666666668
bcast,Enc,2,4,t_avg[usec],149.16,148.94,146.56,148.22
bcast,Enc,2,8,t_avg[usec],145.65,148.08,145.97,146.56666666666666
bcast,Enc,2,16,t_avg[usec],149.62,147.68,147.74,148.34666666666666
bcast,Enc,2,32,t_avg[usec],151.35,148.19,146.46,148.66666666666666
bcast,Enc,2,64,t_avg[usec],148.13,148.63,148.38,148.38
bcast,Enc,2,128,t_avg[usec],145.78,144.98,144.65,145.13666666666666
bcast,Enc,2,256,t_avg[usec],143.98,143.0,143.45,143.47666666666666
bcast,Enc,2,512,t_avg[usec],151.16,147.96,148.77,149.29666666666668
bcast,Enc,2,1024,t_avg[usec],155.46,154.9,151.8,154.05333333333334
bcast,Enc,2,2048,t_avg[usec],194.36,194.07,192.68,193.70333333333335
bcast,Enc,2,4096,t_avg[usec],222.29,221.64,221.99,221.97333333333333
bcast,Enc,2,8192,t_avg[usec],283.49,280.88,280.68,281.68333333333334
bcast,Enc,2,16384,t_avg[usec],389.0,389.13,388.13,388.75333333333333
bcast,Enc,2,32768,t_avg[usec],602.46,601.98,600.15,601.53
bcast,Enc,2,65536,t_avg[usec],1041.55,1039.74,1040.37,1040.5533333333333
bcast,Enc,2,131072,t_avg[usec],2144.51,2147.94,2141.49,2144.6466666666665
bcast,Enc,2,262144,t_avg[usec],3882.63,3887.12,3874.8,3881.516666666667
bcast,Enc,2,524288,t_avg[usec],5180.57,5172.86,5179.57,5177.666666666666
bcast,Enc,2,1048576,t_avg[usec],10745.77,10725.61,10722.42,10731.266666666666
bcast,Enc,2,2097152,t_avg[usec],21811.62,21826.67,21801.33,21813.206666666665
bcast,Enc,2,4194304,t_avg[usec],44089.35,43973.3,43987.32,44016.65666666667
bcast,Enc,4,0,t_avg[usec],234.03,237.02,240.65,237.23333333333335
bcast,Enc,4,2,t_avg[usec],239.79,237.26,246.03,241.02666666666667
bcast,Enc,4,4,t_avg[usec],235.59,239.64,250.58,241.93666666666667
bcast,Enc,4,8,t_avg[usec],238.86,238.22,247.45,241.51
bcast,Enc,4,16,t_avg[usec],238.74,241.17,247.06,242.32333333333332
bcast,Enc,4,32,t_avg[usec],241.59,246.35,250.45,246.13
bcast,Enc,4,64,t_avg[usec],243.44,246.63,254.12,248.06333333333333
bcast,Enc,4,128,t_avg[usec],242.37,243.56,258.1,248.01000000000002
bcast,Enc,4,256,t_avg[usec],262.89,267.44,267.47,265.93333333333334
bcast,Enc,4,512,t_avg[usec],279.63,279.97,279.48,279.6933333333333
bcast,Enc,4,1024,t_avg[usec],283.4,282.36,281.04,282.26666666666665
bcast,Enc,4,2048,t_avg[usec],264.56,263.26,266.04,264.62
bcast,Enc,4,4096,t_avg[usec],318.65,322.14,316.81,319.2
bcast,Enc,4,8192,t_avg[usec],421.07,422.9,416.59,420.18666666666667
bcast,Enc,4,16384,t_avg[usec],620.53,628.16,617.57,622.0866666666667
bcast,Enc,4,32768,t_avg[usec],1050.65,1087.98,1057.12,1065.25
bcast,Enc,4,65536,t_avg[usec],1847.62,1898.82,1835.92,1860.7866666666666
bcast,Enc,4,131072,t_avg[usec],3621.97,3750.68,3580.47,3651.04
bcast,Enc,4,262144,t_avg[usec],6685.81,6973.56,6681.59,6780.320000000001
bcast,Enc,4,524288,t_avg[usec],6191.0,6042.22,6181.74,6138.32
bcast,Enc,4,1048576,t_avg[usec],12237.77,12238.7,12214.6,12230.356666666667
bcast,Enc,4,2097152,t_avg[usec],22898.27,22741.4,22759.57,22799.746666666666
bcast,Enc,4,4194304,t_avg[usec],45344.97,45181.83,45167.82,45231.54
bcast,Enc,8,0,t_avg[usec],314.5,311.69,315.29,313.82666666666665
bcast,Enc,8,2,t_avg[usec],309.29,308.06,310.94,309.43
bcast,Enc,8,4,t_avg[usec],314.75,312.02,314.99,313.92
bcast,Enc,8,8,t_avg[usec],315.17,313.22,313.18,313.8566666666667
bcast,Enc,8,16,t_avg[usec],314.14,314.03,314.1,314.09
bcast,Enc,8,32,t_avg[usec],310.79,310.19,313.81,311.5966666666667
bcast,Enc,8,64,t_avg[usec],318.53,314.81,316.6,316.64666666666665
bcast,Enc,8,128,t_avg[usec],321.3,318.2,316.31,318.60333333333335
bcast,Enc,8,256,t_avg[usec],329.39,330.97,328.91,329.75666666666666
bcast,Enc,8,512,t_avg[usec],339.9,338.25,335.52,337.89
bcast,Enc,8,1024,t_avg[usec],379.59,364.63,377.94,374.05333333333334
bcast,Enc,8,2048,t_avg[usec],400.63,399.94,404.06,401.54333333333335
bcast,Enc,8,4096,t_avg[usec],471.52,467.92,475.1,471.5133333333333
bcast,Enc,8,8192,t_avg[usec],625.03,612.44,640.73,626.0666666666667
bcast,Enc,8,16384,t_avg[usec],904.43,860.13,939.5,901.3533333333334
bcast,Enc,8,32768,t_avg[usec],1416.72,1306.93,1487.34,1403.6633333333334
bcast,Enc,8,65536,t_avg[usec],2390.43,2444.55,2460.35,2431.7766666666666
bcast,Enc,8,131072,t_avg[usec],4458.13,4603.09,4603.16,4554.793333333333
bcast,Enc,8,262144,t_avg[usec],7825.86,8128.56,8090.08,8014.833333333333
bcast,Enc,8,524288,t_avg[usec],9925.79,9888.97,9921.51,9912.09
bcast,Enc,8,1048576,t_avg[usec],20736.67,20660.2,20698.1,20698.323333333334
bcast,Enc,8,2097152,t_avg[usec],42179.29,41868.45,42130.72,42059.486666666664
bcast,Enc,8,4194304,t_avg[usec],48790.27,48695.19,48667.66,48717.706666666665
bcast,Unenc,2,0,t_avg[usec],0.31,0.29,0.31,0.30333333333333334
bcast,Unenc,2,2,t_avg[usec],112.56,111.19,109.98,111.24333333333334
bcast,Unenc,2,4,t_avg[usec],112.44,111.24,110.88,111.52
bcast,Unenc,2,8,t_avg[usec],112.02,112.04,111.6,111.88666666666667
bcast,Unenc,2,16,t_avg[usec],111.65,111.35,111.55,111.51666666666667
bcast,Unenc,2,32,t_avg[usec],112.07,111.32,111.26,111.55
bcast,Unenc,2,64,t_avg[usec],111.57,110.83,110.82,111.07333333333332
bcast,Unenc,2,128,t_avg[usec],109.19,108.55,107.95,108.56333333333333
bcast,Unenc,2,256,t_avg[usec],103.97,103.42,104.78,104.05666666666667
bcast,Unenc,2,512,t_avg[usec],109.89,111.59,110.6,110.69333333333333
bcast,Unenc,2,1024,t_avg[usec],113.91,114.13,114.61,114.21666666666667
bcast,Unenc,2,2048,t_avg[usec],130.39,129.79,128.68,129.62
bcast,Unenc,2,4096,t_avg[usec],168.94,167.63,171.16,169.24333333333334
bcast,Unenc,2,8192,t_avg[usec],213.97,215.1,214.87,214.64666666666668
bcast,Unenc,2,16384,t_avg[usec],323.78,318.24,324.18,322.06666666666666
bcast,Unenc,2,32768,t_avg[usec],536.44,532.71,537.97,535.7066666666667
bcast,Unenc,2,65536,t_avg[usec],957.59,949.46,961.16,956.07
bcast,Unenc,2,131072,t_avg[usec],2033.54,2012.96,2040.83,2029.11
bcast,Unenc,2,262144,t_avg[usec],3723.04,3680.74,3740.6,3714.793333333333
bcast,Unenc,2,524288,t_avg[usec],4950.44,4948.69,4938.07,4945.733333333333
bcast,Unenc,2,1048576,t_avg[usec],10327.0,10353.59,10330.79,10337.126666666667
bcast,Unenc,2,2097152,t_avg[usec],21114.08,21103.98,21058.9,21092.32
bcast,Unenc,2,4194304,t_avg[usec],42703.75,42597.66,42625.14,42642.183333333334
bcast,Unenc,4,0,t_avg[usec],0.3,0.32,0.32,0.31333333333333335
bcast,Unenc,4,2,t_avg[usec],206.53,210.81,213.38,210.24
bcast,Unenc,4,4,t_avg[usec],207.27,216.32,212.8,212.13
bcast,Unenc,4,8,t_avg[usec],208.51,214.25,213.25,212.00333333333333
bcast,Unenc,4,16,t_avg[usec],210.75,212.19,212.7,211.88
bcast,Unenc,4,32,t_avg[usec],206.95,211.61,213.22,210.59333333333333
bcast,Unenc,4,64,t_avg[usec],211.0,211.21,213.78,211.99666666666667
bcast,Unenc,4,128,t_avg[usec],214.08,216.96,220.22,217.08666666666667
bcast,Unenc,4,256,t_avg[usec],230.44,229.07,227.59,229.03333333333333
bcast,Unenc,4,512,t_avg[usec],241.11,239.83,240.47,240.47
bcast,Unenc,4,1024,t_avg[usec],243.68,241.08,242.73,242.49666666666667
bcast,Unenc,4,2048,t_avg[usec],208.62,206.0,205.84,206.82
bcast,Unenc,4,4096,t_avg[usec],255.78,262.31,265.41,261.1666666666667
bcast,Unenc,4,8192,t_avg[usec],341.95,346.02,348.19,345.38666666666666
bcast,Unenc,4,16384,t_avg[usec],533.67,531.31,536.58,533.8533333333334
bcast,Unenc,4,32768,t_avg[usec],954.88,960.24,974.11,963.0766666666667
bcast,Unenc,4,65536,t_avg[usec],1746.26,1736.2,1740.49,1740.9833333333333
bcast,Unenc,4,131072,t_avg[usec],3472.28,3438.72,3441.14,3450.713333333333
bcast,Unenc,4,262144,t_avg[usec],6485.59,6434.45,6457.13,6459.056666666666
bcast,Unenc,4,524288,t_avg[usec],5868.69,5910.55,5902.59,5893.943333333334
bcast,Unenc,4,1048576,t_avg[usec],11710.59,11753.77,11788.21,11750.856666666667
bcast,Unenc,4,2097152,t_avg[usec],22017.8,21908.74,21920.69,21949.076666666668
bcast,Unenc,4,4194304,t_avg[usec],43606.97,43351.38,43510.49,43489.613333333335
bcast,Unenc,8,0,t_avg[usec],0.26,0.27,0.28,0.27
bcast,Unenc,8,2,t_avg[usec],277.87,279.84,279.17,278.96
bcast,Unenc,8,4,t_avg[usec],279.31,278.5,279.8,279.2033333333333
bcast,Unenc,8,8,t_avg[usec],282.41,279.51,277.79,279.90333333333336
bcast,Unenc,8,16,t_avg[usec],280.25,282.1,280.94,281.0966666666667
bcast,Unenc,8,32,t_avg[usec],278.62,279.46,277.6,278.56
bcast,Unenc,8,64,t_avg[usec],279.38,281.82,280.98,280.7266666666667
bcast,Unenc,8,128,t_avg[usec],282.71,284.45,283.51,283.5566666666667
bcast,Unenc,8,256,t_avg[usec],291.14,295.31,293.47,293.3066666666667
bcast,Unenc,8,512,t_avg[usec],301.49,301.59,299.25,300.77666666666664
