benchmark,mode,processes,bytes,metric,run1,run2,run3,avg_of_3runs
gather,Enc,2,0,t_avg[usec],139.81,135.12,134.38,136.43666666666667
gather,Enc,2,2,t_avg[usec],140.14,136.28,134.38,136.93333333333334
gather,Enc,2,4,t_avg[usec],139.29,135.8,135.44,136.84333333333333
gather,Enc,2,8,t_avg[usec],139.62,135.71,134.45,136.59333333333333
gather,Enc,2,16,t_avg[usec],139.61,135.21,135.21,136.67666666666668
gather,Enc,2,32,t_avg[usec],140.37,135.57,135.24,137.06
gather,Enc,2,64,t_avg[usec],133.23,128.42,128.92,130.19
gather,Enc,2,128,t_avg[usec],139.71,135.53,136.28,137.17333333333335
gather,Enc,2,256,t_avg[usec],139.95,139.64,138.73,139.44
gather,Enc,2,512,t_avg[usec],144.74,146.05,144.25,145.01333333333335
gather,Enc,2,1024,t_avg[usec],149.97,154.68,151.56,152.07
gather,Enc,2,2048,t_avg[usec],153.83,152.42,152.93,153.06
gather,Enc,2,4096,t_avg[usec],166.16,172.89,171.68,170.24333333333334
gather,Enc,2,8192,t_avg[usec],236.1,237.77,238.32,237.39666666666668
gather,Enc,2,16384,t_avg[usec],280.07,281.29,289.73,283.69666666666666
gather,Enc,2,32768,t_avg[usec],359.61,360.35,368.15,362.7033333333333
gather,Enc,2,65536,t_avg[usec],514.36,521.91,520.41,518.8933333333333
gather,Enc,2,131072,t_avg[usec],1196.93,1208.07,1212.53,1205.8433333333332
gather,Enc,2,262144,t_avg[usec],1833.23,1836.59,1841.01,1836.9433333333334
gather,Enc,2,524288,t_avg[usec],4092.31,4093.53,4099.3,4095.0466666666666
gather,Enc,2,1048576,t_avg[usec],9248.75,9240.34,9241.22,9243.436666666666
gather,Enc,2,2097152,t_avg[usec],18642.65,18617.27,18634.61,18631.510000000002
gather,Enc,2,4194304,t_avg[usec],37630.69,37657.42,37589.24,37625.78333333333
gather,Enc,4,0,t_avg[usec],90.98,93.18,93.22,92.46000000000001
gather,Enc,4,2,t_avg[usec],97.44,98.69,99.13,98.42
gather,Enc,4,4,t_avg[usec],96.98,99.64,99.74,98.78666666666666
gather,Enc,4,8,t_avg[usec],97.84,98.56,100.81,99.07000000000001
gather,Enc,4,16,t_avg[usec],94.94,96.98,96.93,96.28333333333333
gather,Enc,4,32,t_avg[usec],97.93,99.86,101.16,99.65
gather,Enc,4,64,t_avg[usec],99.13,100.38,101.07,100.19333333333333
gather,Enc,4,128,t_avg[usec],101.24,103.9,104.87,103.33666666666667
gather,Enc,4,256,t_avg[usec],104.69,105.87,106.81,105.79
gather,Enc,4,512,t_avg[usec],109.01,110.06,109.82,109.63
gather,Enc,4,1024,t_avg[usec],116.7,124.17,128.49,123.12
gather,Enc,4,2048,t_avg[usec],145.8,145.99,146.22,146.00333333333333
gather,Enc,4,4096,t_avg[usec],137.4,138.17,139.95,138.50666666666666
gather,Enc,4,8192,t_avg[usec],466.81,457.7,462.07,462.1933333333333
gather,Enc,4,16384,t_avg[usec],476.25,475.29,477.93,476.49
gather,Enc,4,32768,t_avg[usec],576.95,579.13,582.77,579.6166666666667
gather,Enc,4,65536,t_avg[usec],875.88,878.73,882.35,878.9866666666667
gather,Enc,4,131072,t_avg[usec],2524.59,2527.03,2484.17,2511.9300000000003
gather,Enc,4,262144,t_avg[usec],3544.91,3534.7,3527.47,3535.693333333333
gather,Enc,4,524288,t_avg[usec],9710.38,9629.71,9727.56,9689.216666666665
gather,Enc,4,1048576,t_avg[usec],23988.58,23831.02,23966.56,23928.72
gather,Enc,4,2097152,t_avg[usec],51216.43,50951.78,50965.73,51044.64666666667
gather,Enc,4,4194304,t_avg[usec],105720.79,105432.7,105711.78,105621.75666666667
gather,Enc,8,0,t_avg[usec],99.21,98.03,97.91,98.38333333333333
gather,Enc,8,2,t_avg[usec],94.44,91.87,90.84,92.38333333333334
gather,Enc,8,4,t_avg[usec],99.01,98.68,97.24,98.31
gather,Enc,8,8,t_avg[usec],101.63,101.08,99.77,100.82666666666667
gather,Enc,8,16,t_avg[usec],101.9,101.31,100.78,101.33
gather,Enc,8,32,t_avg[usec],96.18,95.73,93.68,95.19666666666667
gather,Enc,8,64,t_avg[usec],102.65,101.99,100.5,101.71333333333334
gather,Enc,8,128,t_avg[usec],102.78,102.6,101.14,102.17333333333333
gather,Enc,8,256,t_avg[usec],97.99,97.56,95.98,97.17666666666666
gather,Enc,8,512,t_avg[usec],98.69,98.17,96.47,97.77666666666667
gather,Enc,8,1024,t_avg[usec],99.71,99.24,97.78,98.91
gather,Enc,8,2048,t_avg[usec],96.72,95.99,96.41,96.37333333333333
gather,Enc,8,4096,t_avg[usec],99.82,99.74,99.76,99.77333333333333
gather,Enc,8,8192,t_avg[usec],925.09,910.49,915.69,917.09
