benchmark,mode,processes,bytes,metric,run1,run2,run3,avg_of_3runs
scatter,Enc,2,0,t_avg[usec],181.04,180.03,181.63,180.9
scatter,Enc,2,2,t_avg[usec],177.62,178.1,181.88,179.2
scatter,Enc,2,4,t_avg[usec],181.53,179.27,183.27,181.35666666666668
scatter,Enc,2,8,t_avg[usec],182.03,182.09,183.98,182.7
scatter,Enc,2,16,t_avg[usec],183.54,181.14,183.14,182.60666666666665
scatter,Enc,2,32,t_avg[usec],182.36,182.49,182.53,182.46
scatter,Enc,2,64,t_avg[usec],179.03,178.23,179.17,178.81
scatter,Enc,2,128,t_avg[usec],180.95,176.87,179.99,179.27
scatter,Enc,2,256,t_avg[usec],178.81,178.69,178.55,178.68333333333334
scatter,Enc,2,512,t_avg[usec],184.23,182.35,184.83,183.80333333333334
scatter,Enc,2,1024,t_avg[usec],186.71,187.75,187.56,187.34
scatter,Enc,2,2048,t_avg[usec],196.06,195.63,195.17,195.62
scatter,Enc,2,4096,t_avg[usec],201.65,200.57,200.66,200.96
scatter,Enc,2,8192,t_avg[usec],218.87,218.22,218.43,218.50666666666666
scatter,Enc,2,16384,t_avg[usec],261.57,261.19,261.5,261.42
scatter,Enc,2,32768,t_avg[usec],347.75,346.97,348.05,347.59000000000003
scatter,Enc,2,65536,t_avg[usec],735.69,733.26,733.1,734.0166666666667
scatter,Enc,2,131072,t_avg[usec],1081.63,1081.05,1084.46,1082.38
scatter,Enc,2,262144,t_avg[usec],2313.89,2305.9,2307.7,2309.1633333333334
scatter,Enc,2,524288,t_avg[usec],4583.33,4579.37,4584.33,4582.343333333333
scatter,Enc,2,1048576,t_avg[usec],9433.87,9524.78,9426.03,9461.560000000001
scatter,Enc,2,2097152,t_avg[usec],19148.78,19158.15,19134.56,19147.163333333334
scatter,Enc,2,4194304,t_avg[usec],39181.52,39184.05,39166.9,39177.49
scatter,Enc,4,0,t_avg[usec],241.97,245.54,249.27,245.59333333333333
scatter,Enc,4,2,t_avg[usec],244.9,242.92,248.4,245.40666666666667
scatter,Enc,4,4,t_avg[usec],246.19,249.26,252.25,249.23333333333332
scatter,Enc,4,8,t_avg[usec],247.29,247.2,252.42,248.97
scatter,Enc,4,16,t_avg[usec],244.28,247.41,251.66,247.78333333333333
scatter,Enc,4,32,t_avg[usec],245.66,249.02,254.85,249.84333333333333
scatter,Enc,4,64,t_avg[usec],245.6,248.56,255.75,249.97
scatter,Enc,4,128,t_avg[usec],247.91,251.54,256.29,251.91333333333333
scatter,Enc,4,256,t_avg[usec],250.48,253.36,259.01,254.28333333333333
scatter,Enc,4,512,t_avg[usec],263.27,266.25,271.94,267.1533333333333
scatter,Enc,4,1024,t_avg[usec],283.21,287.06,286.96,285.74333333333334
scatter,Enc,4,2048,t_avg[usec],308.23,310.49,312.72,310.48
scatter,Enc,4,4096,t_avg[usec],357.71,365.58,358.88,360.7233333333333
scatter,Enc,4,8192,t_avg[usec],447.08,447.94,448.64,447.88666666666666
scatter,Enc,4,16384,t_avg[usec],535.5,538.12,537.15,536.9233333333333
scatter,Enc,4,32768,t_avg[usec],767.87,766.65,769.71,768.0766666666667
scatter,Enc,4,65536,t_avg[usec],2014.04,2014.57,2009.54,2012.7166666666667
scatter,Enc,4,131072,t_avg[usec],3179.43,3163.06,3199.95,3180.813333333333
scatter,Enc,4,262144,t_avg[usec],5724.34,5719.78,5718.7,5720.94
scatter,Enc,4,524288,t_avg[usec],10944.3,10936.92,10930.55,10937.256666666666
scatter,Enc,4,1048576,t_avg[usec],21839.34,21899.36,22065.83,21934.843333333334
scatter,Enc,4,2097152,t_avg[usec],43672.92,43713.02,43746.03,43710.65666666666
scatter,Enc,4,4194304,t_avg[usec],86986.42,86967.45,86882.26,86945.37666666666
scatter,Enc,8,0,t_avg[usec],445.31,448.6,451.18,448.36333333333334
scatter,Enc,8,2,t_avg[usec],438.62,439.63,444.06,440.77
scatter,Enc,8,4,t_avg[usec],447.56,446.68,452.62,448.9533333333333
scatter,Enc,8,8,t_avg[usec],444.48,447.86,451.29,447.87666666666667
scatter,Enc,8,16,t_avg[usec],468.72,467.58,473.3,469.8666666666667
scatter,Enc,8,32,t_avg[usec],466.4,465.09,471.6,467.69666666666666
scatter,Enc,8,64,t_avg[usec],473.66,471.4,475.73,473.5966666666667
scatter,Enc,8,128,t_avg[usec],470.01,470.13,474.52,471.55333333333334
scatter,Enc,8,256,t_avg[usec],470.78,469.61,474.87,471.75333333333333
scatter,Enc,8,512,t_avg[usec],476.24,474.32,480.54,477.03333333333336
scatter,Enc,8,1024,t_avg[usec],485.1,485.77,488.64,486.50333333333333
scatter,Enc,8,2048,t_avg[usec],491.03,491.73,500.36,494.37333333333333
scatter,Enc,8,4096,t_avg[usec],490.16,492.9,507.29,496.78333333333336
scatter,Enc,8,8192,t_avg[usec],539.01,539.1,538.83,538.98
scatter,Enc,8,16384,t_avg[usec],620.25,620.78,618.25,619.76
scatter,Enc,8,32768,t_avg[usec],796.6,799.58,795.76,797.3133333333334
scatter,Enc,8,65536,t_avg[usec],2824.79,2831.47,2816.58,2824.2799999999997
