benchmark,environment,encryption,processes,run,class,size,iterations,time_seconds,total_processes,active_processes,mops_total,mops_per_process,operation_type,verification,source_file
BT,Native,ENC,1,1,C,162x 162x 162,200,637.70,1,1,4494.71,4494.71,floating point,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/Native/results/bt-enc-1processes-1.csv
BT,Native,ENC,4,1,C,162x 162x 162,200,165.36,4,4,17333.65,4333.41,floating point,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/Native/results/bt-enc-4processes-1.csv
BT,Native,ENC,16,1,C,162x 162x 162,200,74.01,16,16,38729.10,2420.57,floating point,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/Native/results/bt-enc-16processes-1.csv
BT,Native,UNENC,1,1,C,162x 162x 162,200,637.53,1,1,4495.89,4495.89,floating point,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/Native/results/bt-unenc-1processes-1.csv
BT,Native,UNENC,4,1,C,162x 162x 162,200,163.68,4,4,17511.15,4377.79,floating point,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/Native/results/bt-unenc-4processes-1.csv
BT,Native,UNENC,16,1,C,162x 162x 162,200,72.00,16,16,39810.89,2488.18,floating point,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/Native/results/bt-unenc-16processes-1.csv
BT,SGX,ENC,1,1,C,162x 162x 162,200,853.55,1,1,3358.07,3358.07,floating point,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/BT-ENC-1processes-1.csv
BT,SGX,ENC,4,1,C,162x 162x 162,200,229.03,4,4,12514.79,3128.70,floating point,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/BT-ENC-4processes-1.csv
BT,SGX,ENC,16,1,C,162x 162x 162,200,93.40,16,16,30687.30,1917.96,floating point,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/BT-ENC-16processes-1.csv
BT,SGX,UNENC,1,1,C,162x 162x 162,200,856.40,1,1,3346.90,3346.90,floating point,SUCCESSFUL,/mnt/ebi/shimojima/TPDP/NPB3.4.4/NPB3.4-MPI/SGX/results/BT-UNENC-1processes-1.csv
