file,runtime,mode,processes,elements,Tot MFlops,MFlops,Avg MFlops,Setup Flop,Solver Flop,Solve Time
/mnt/ebi/shimojima/TPDP/Nekbone/test/example1/Native/results/nekbone-enc-1processes-1.csv,Native,ENC,1,2000,5.8720E+03,5.8720E+03,5.8720E+03,2.7800E+10,3.0300E+09,0.5250E+01
/mnt/ebi/shimojima/TPDP/Nekbone/test/example1/Native/results/nekbone-enc-2processes-1.csv,Native,ENC,2,2000,1.1847E+04,5.9234E+03,1.1847E+04,1.3900E+10,1.5150E+09,0.2602E+01
/mnt/ebi/shimojima/TPDP/Nekbone/test/example1/Native/results/nekbone-enc-4processes-1.csv,Native,ENC,4,2000,2.4174E+04,6.0434E+03,2.4174E+04,6.9500E+09,7.5750E+08,0.1275E+01
/mnt/ebi/shimojima/TPDP/Nekbone/test/example1/Native/results/nekbone-enc-8processes-1.csv,Native,ENC,8,2000,4.1635E+04,5.2044E+03,4.1635E+04,3.4750E+09,3.7875E+08,0.7405E+00
/mnt/ebi/shimojima/TPDP/Nekbone/test/example1/Native/results/nekbone-native-1processes-1.csv,Native,UNENC,1,2000,5.8785E+03,5.8785E+03,5.8785E+03,2.7800E+10,3.0300E+09,0.5245E+01
/mnt/ebi/shimojima/TPDP/Nekbone/test/example1/Native/results/nekbone-native-2processes-1.csv,Native,UNENC,2,2000,1.1848E+04,5.9242E+03,1.1848E+04,1.3900E+10,1.5150E+09,0.2602E+01
/mnt/ebi/shimojima/TPDP/Nekbone/test/example1/Native/results/nekbone-native-4processes-1.csv,Native,UNENC,4,2000,2.4416E+04,6.1039E+03,2.4416E+04,6.9500E+09,7.5750E+08,0.1263E+01
/mnt/ebi/shimojima/TPDP/Nekbone/test/example1/Native/results/nekbone-native-8processes-1.csv,Native,UNENC,8,2000,4.2316E+04,5.2895E+03,4.2316E+04,3.4750E+09,3.7875E+08,0.7286E+00
/mnt/ebi/shimojima/TPDP/Nekbone/test/example1/SGX/results/Nekbone-ENC-1processes-1.csv,TEE,ENC,1,2000,4.9467E+03,4.9467E+03,4.9467E+03,2.7800E+10,3.0300E+09,0.6232E+01
/mnt/ebi/shimojima/TPDP/Nekbone/test/example1/SGX/results/Nekbone-ENC-2processes-1.csv,TEE,ENC,2,2000,9.5254E+03,4.7627E+03,9.5254E+03,1.3900E+10,1.5150E+09,0.3237E+01
/mnt/ebi/shimojima/TPDP/Nekbone/test/example1/SGX/results/Nekbone-ENC-4processes-1.csv,TEE,ENC,4,2000,1.8771E+04,4.6927E+03,1.8771E+04,6.9500E+09,7.5750E+08,0.1642E+01
/mnt/ebi/shimojima/TPDP/Nekbone/test/example1/SGX/results/Nekbone-ENC-8processes-1.csv,TEE,ENC,8,2000,3.2372E+04,4.0465E+03,3.2372E+04,3.4750E+09,3.7875E+08,0.9524E+00
/mnt/ebi/shimojima/TPDP/Nekbone/test/example1/SGX/results/Nekbone-UNENC-1processes-1.csv,TEE,UNENC,1,2000,4.9612E+03,4.9612E+03,4.9612E+03,2.7800E+10,3.0300E+09,0.6214E+01
/mnt/ebi/shimojima/TPDP/Nekbone/test/example1/SGX/results/Nekbone-UNENC-2processes-1.csv,TEE,UNENC,2,2000,9.7724E+03,4.8862E+03,9.7724E+03,1.3900E+10,1.5150E+09,0.3155E+01
/mnt/ebi/shimojima/TPDP/Nekbone/test/example1/SGX/results/Nekbone-UNENC-4processes-1.csv,TEE,UNENC,4,2000,2.0053E+04,5.0132E+03,2.0053E+04,6.9500E+09,7.5750E+08,0.1537E+01
/mnt/ebi/shimojima/TPDP/Nekbone/test/example1/SGX/results/Nekbone-UNENC-8processes-1.csv,TEE,UNENC,8,2000,3.4974E+04,4.3718E+03,3.4974E+04,3.4750E+09,3.7875E+08,0.8815E+00
